setid,"Temperature, K",Mole fraction of ethylene carbonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SGdgK,333.15,0.3305,100,1466.9,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,333.15,0.4395,100,1453.5,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,333.15,0.5263,100,1443.8,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,333.15,0.6557,100,1424.7,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,333.15,0.7476,100,1404.4,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,333.15,0.8163,100,1385.2,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,333.15,0.8696,100,1365.3,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,333.15,0.912,100,1346.9,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,333.15,0.9467,100,1331.6,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,333.15,0.9756,100,1315.3,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,333.15,1,100,1299.1,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,0,100,1464.2,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,0.1896,100,1453.6,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,0.3305,100,1446.8,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,0.4395,100,1433.2,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,0.5263,100,1423.2,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,0.6557,100,1403.7,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,0.7476,100,1383.1,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,0.8163,100,1363.6,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,0.8696,100,1343.4,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,0.912,100,1324.7,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,0.9467,100,1309.2,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,0.9756,100,1292.7,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
SGdgK,353.15,1,100,1276.3,Hofmann et al. (2016),Density,Liquid,AAQwFH,O=C1OCCO1,ethylene carbonate,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
