setid,"Temperature, K","MolaLity of 1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pdcQa,313.15,0,101,929.8,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,313.15,0.0264,101,933.6,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,313.15,0.0538,101,937.3,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,313.15,0.1061,101,943.7,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,313.15,0.1657,101,950.7,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,313.15,0.2109,101,956.1,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,313.15,0.2692,101,962.3,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,323.15,0,101,919.9,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,323.15,0.0264,101,923.9,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,323.15,0.0538,101,927.6,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,323.15,0.1061,101,934,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,323.15,0.1657,101,941.1,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,323.15,0.2109,101,946.4,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,323.15,0.2692,101,952.6,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,333.15,0,101,910,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,333.15,0.0264,101,914.2,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,333.15,0.0538,101,917.8,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,333.15,0.1061,101,924.4,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,333.15,0.1657,101,931.3,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,333.15,0.2109,101,936.7,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,333.15,0.2692,101,943.1,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,343.15,0,101,900.2,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,343.15,0.0264,101,904.3,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,343.15,0.0538,101,908,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,343.15,0.1061,101,914.6,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,343.15,0.1657,101,921.4,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,343.15,0.2109,101,926.8,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,343.15,0.2692,101,933.4,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,353.15,0,101,890.4,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,353.15,0.0264,101,893.5,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,353.15,0.0538,101,898.1,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,353.15,0.1061,101,904.7,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,353.15,0.1657,101,911.7,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,353.15,0.2109,101,917.1,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,353.15,0.2692,101,923.7,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,363.15,0,101,881,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,363.15,0.0264,101,884.7,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,363.15,0.0538,101,888.3,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,363.15,0.1061,101,894.8,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,363.15,0.1657,101,901.8,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,363.15,0.2109,101,907.1,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
pdcQa,363.15,0.2692,101,913.7,Losetty et al. (2021),Density,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,AAOCWD,CN(C)C=O,dimethylformamide,,,
