setid,"Mole fraction of N-methyl-N,N-dioctyl-1-octanaminium chloride","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PVQZU,0.05,303.15,101,1014.6,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.05,308.15,101,1005,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.05,313.15,101,1002.2,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.05,318.15,101,996,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.08,298.15,101,997.5,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.08,303.15,101,994.6,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.08,308.15,101,991.6,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.08,313.15,101,988,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.08,318.15,101,986,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.12,298.15,101,973.9,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.12,303.15,101,970.3,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.12,308.15,101,967.4,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.12,313.15,101,963.2,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.12,318.15,101,960,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.17,298.15,101,956.8,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.17,303.15,101,953.3,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.17,308.15,101,950.3,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.17,313.15,101,946.8,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.17,318.15,101,943,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.24,298.15,101,944.4,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.24,303.15,101,939.7,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.24,308.15,101,936.8,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.24,313.15,101,933.8,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.24,318.15,101,930,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.33,298.15,101,920,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.33,303.15,101,916,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.33,308.15,101,913,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.33,313.15,101,910,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.33,318.15,101,906,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.45,298.15,101,907,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.45,303.15,101,904,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.45,308.15,101,900,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.45,313.15,101,898,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.45,318.15,101,896,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.65,298.15,101,897,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.65,303.15,101,894,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.65,308.15,101,891,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.65,313.15,101,888,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,0.65,318.15,101,885,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,1,298.15,101,888,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,1,303.15,101,884,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,1,308.15,101,880,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,1,313.15,101,877,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
PVQZU,1,318.15,101,874,Litaiem and Dhahbi (2012),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABZlTO,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],"N-methyl-N,N-dioctyl-1-octanaminium chloride",,,
