setid,"Temperature, K","MolaLity of sodium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aHTPS,298.15,0.1739,101,1211.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,308.15,0,101,1194.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,308.15,0.0273,101,1196.3,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,308.15,0.054,101,1197.7,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,308.15,0.058,101,1198,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,308.15,0.0676,101,1199,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,308.15,0.0903,101,1199.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,308.15,0.1069,101,1200.7,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,308.15,0.1159,101,1201.1,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,308.15,0.1377,101,1202.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,308.15,0.1739,101,1204.4,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
aHTPS,318.15,0,101,1187.6,Nikitina et al. (2012),Density,Liquid,AAVFWz,F[B-](F)(F)F.[Na+],sodium tetrafluoroborate,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
