setid,"Solvent: MolaLity of propylene carbonate, mol/kg","MolaRity of tetraethylammonium tetrafluoroborate, mol/dm3","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HMCCb,0.02,0,298.15,101.3,997.74,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0,303.15,101.3,996.31,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0,308.15,101.3,994.66,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0,313.15,101.3,992.79,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.00996,298.15,101.3,998.03,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.00996,303.15,101.3,996.59,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.00996,308.15,101.3,994.95,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.00996,313.15,101.3,993.09,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.02976,298.15,101.3,998.57,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.02976,303.15,101.3,997.12,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.02976,308.15,101.3,995.47,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.02976,313.15,101.3,993.62,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.04942,298.15,101.3,999.08,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.04942,303.15,101.3,997.62,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.04942,308.15,101.3,995.96,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.04942,313.15,101.3,994.11,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.06896,298.15,101.3,999.57,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.06896,303.15,101.3,998.09,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.06896,308.15,101.3,996.43,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.06896,313.15,101.3,994.57,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.09803,298.15,101.3,1000.26,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.09803,303.15,101.3,998.78,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.09803,308.15,101.3,997.1,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
HMCCb,0.02,0.09803,313.15,101.3,995.21,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,AADYJk,O,water
