setid,"Solvent: MolaLity of lithium bromide, mol/kg","MolaLity of 1-methyl-3-octyl-1H-imidazolium thiocyanate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QHsri,0.006,0.0099,86,298.15,1198.9,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.006,0.0127,86,298.15,1198.74,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.006,0.0162,86,298.15,1198.56,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.006,0.0194,86,298.15,1198.39,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.006,0.0227,86,298.15,1198.22,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.006,0.0263,86,298.15,1198.03,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.006,0.0299,86,298.15,1197.83,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.006,0.0322,86,298.15,1197.71,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.0098,0,86,298.15,1199.58,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.0098,0.0097,86,298.15,1199.04,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.0098,0.0132,86,298.15,1198.85,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.0098,0.0168,86,298.15,1198.65,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.0098,0.0194,86,298.15,1198.5,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.0098,0.0244,86,298.15,1198.23,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.0098,0.0267,86,298.15,1198.1,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.0098,0.0302,86,298.15,1197.9,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
QHsri,0.0098,0.033,86,298.15,1197.75,Golmohammadi et al. (2021),Density,Liquid,AAwmau,CCCCCCCCn1cc[n+](C)c1.N#C[S-],1-methyl-3-octyl-1H-imidazolium thiocyanate,AATgdC,CC1COC(=O)O1,propylene carbonate,AAQklV,[Br-].[Li+],lithium bromide
