setid,"Temperature, K","MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UyNmZ,303.15,0.211,100,784.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,303.15,0.2313,100,786.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,308.15,0.03,100,762.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,308.15,0.0509,100,764.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,308.15,0.0721,100,766,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,308.15,0.1016,100,768.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,308.15,0.123,100,770.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,308.15,0.1434,100,771.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,308.15,0.1628,100,773.2,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,308.15,0.1944,100,775.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,308.15,0.211,100,776.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,308.15,0.2313,100,778.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,313.15,0.03,100,755.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,313.15,0.0509,100,756.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,313.15,0.0721,100,758.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,313.15,0.1016,100,761,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,313.15,0.123,100,762.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,313.15,0.1434,100,764.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,313.15,0.1628,100,765.9,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,313.15,0.1944,100,768.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,313.15,0.211,100,769.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
UyNmZ,313.15,0.2313,100,771.1,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
