setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium acetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EiKpv,298.15,0.4035,101,1002.81,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,298.15,0.457,101,1003.61,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,298.15,0.5036,101,1004.28,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,303.15,0,101,995.688,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,303.15,0.0534,101,996.406,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,303.15,0.104,101,997.105,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,303.15,0.1535,101,997.775,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,303.15,0.209,101,998.535,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,303.15,0.2498,101,999.11,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,303.15,0.2997,101,999.737,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,303.15,0.35,101,1000.49,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,303.15,0.4035,101,1001.22,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,303.15,0.457,101,1001.98,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,303.15,0.5036,101,1002.63,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,308.15,0,101,994.058,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,308.15,0.0534,101,994.772,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,308.15,0.104,101,995.451,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,308.15,0.1535,101,996.101,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,308.15,0.209,101,996.836,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,308.15,0.2498,101,997.391,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,308.15,0.2997,101,997.998,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,308.15,0.35,101,998.725,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,308.15,0.4035,101,999.427,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,308.15,0.457,101,1000.17,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
EiKpv,308.15,0.5036,101,1000.79,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,
