setid,"Temperature, K",Mole fraction of 3-butyl-1-methyl-1H-imidazolium L-alaninate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qrcHY,308.15,0.6015,101,1068.4,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,308.15,0.6945,101,1070.1,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,308.15,0.8015,101,1071.5,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,308.15,0.9026,101,1072.6,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,313.15,0.1012,101,1041.6,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,313.15,0.1939,101,1048.8,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,313.15,0.3103,101,1055.3,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,313.15,0.3971,101,1059.1,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,313.15,0.4864,101,1062.2,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,313.15,0.6015,101,1065.2,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,313.15,0.6945,101,1066.9,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,313.15,0.8015,101,1068.3,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
qrcHY,313.15,0.9026,101,1069.5,Yu et al. (2011a),Density,Liquid,AAUpwm,OCc1ccccc1,benzenemethanol,AArlzo,CCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],3-butyl-1-methyl-1H-imidazolium L-alaninate,,,
