setid,"Temperature, K","MolaRity of 1-butyl-3-methylimidazolium bromide, mol/dm3","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QVwUc,338.15,0.00928,100,0.47,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,338.15,0.0146,100,0.65,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,338.15,0.0215,100,0.9,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,338.15,0.0307,100,1.13,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,338.15,0.0414,100,1.47,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,338.15,0.0529,100,1.82,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,338.15,0.0652,100,2.09,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,338.15,0.0802,100,2.58,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,338.15,0.1156,100,3.44,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,358.15,0.00471,100,0.3,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,358.15,0.00911,100,0.45,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,358.15,0.0144,100,0.66,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,358.15,0.0212,100,0.88,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,358.15,0.0301,100,1.16,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,358.15,0.0406,100,1.52,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,358.15,0.0519,100,1.88,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,358.15,0.0641,100,2.17,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,358.15,0.0787,100,2.69,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
QVwUc,358.15,0.1135,100,3.64,Riabchunova et al. (2018),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
