setid,"Temperature, K",Mole fraction of 4-methyl-4-propylmorpholinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XBPrW,308.15,0,100,994,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,308.15,0.0336,100,1080.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,308.15,0.0618,100,1130.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,308.15,0.0875,100,1164.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,308.15,0.1298,100,1206.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,308.15,0.1709,100,1236.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,308.15,0.2036,100,1254.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,308.15,0.254,100,1275.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,308.15,0.2742,100,1282.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,308.15,0.3025,100,1291.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,313.15,0,100,992.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,313.15,0.0336,100,1077.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,313.15,0.0618,100,1127.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,313.15,0.0875,100,1161.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,313.15,0.1298,100,1203.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,313.15,0.1709,100,1233.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,313.15,0.2036,100,1251.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,313.15,0.254,100,1272.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,313.15,0.2742,100,1279.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,313.15,0.3025,100,1288.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,318.15,0,100,990.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,318.15,0.0336,100,1075.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,318.15,0.0618,100,1124.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,318.15,0.0875,100,1158.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,318.15,0.1298,100,1200.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,318.15,0.1709,100,1229.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,318.15,0.2036,100,1247.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,318.15,0.254,100,1269.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,318.15,0.2742,100,1276.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,318.15,0.3025,100,1285.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,323.15,0,100,987.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,323.15,0.0336,100,1072.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,323.15,0.0618,100,1121.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,323.15,0.0875,100,1155.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,323.15,0.1298,100,1197.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,323.15,0.1709,100,1226.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,323.15,0.2036,100,1244.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,323.15,0.254,100,1265.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,323.15,0.2742,100,1272.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,323.15,0.3025,100,1281.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,328.15,0,100,985.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,328.15,0.0336,100,1069.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,328.15,0.0618,100,1118.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,328.15,0.0875,100,1152.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,328.15,0.1298,100,1193.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,328.15,0.1709,100,1223.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,328.15,0.2036,100,1241.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,328.15,0.254,100,1262.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,328.15,0.2742,100,1269.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,328.15,0.3025,100,1278.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,333.15,0,100,983.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,333.15,0.0336,100,1066.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,333.15,0.0618,100,1115.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,333.15,0.0875,100,1149.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,333.15,0.1298,100,1190.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,333.15,0.1709,100,1219.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,333.15,0.2036,100,1237.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,333.15,0.254,100,1259.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,333.15,0.2742,100,1266.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,333.15,0.3025,100,1275.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,338.15,0,100,980.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,338.15,0.0336,100,1064.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,338.15,0.0618,100,1113.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,338.15,0.0875,100,1145.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,338.15,0.1298,100,1187.3,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,338.15,0.1709,100,1216.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,338.15,0.2036,100,1234.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,338.15,0.254,100,1255.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,338.15,0.2742,100,1262.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,338.15,0.3025,100,1271.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,343.15,0,100,978.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,343.15,0.0336,100,1061.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,343.15,0.0618,100,1110.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,343.15,0.0875,100,1142,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,343.15,0.1298,100,1183.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,343.15,0.1709,100,1213.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,343.15,0.2036,100,1231,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,343.15,0.254,100,1252.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,343.15,0.2742,100,1259.5,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
XBPrW,343.15,0.3025,100,1268.4,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AArFNJ,CCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-propylmorpholinium bromide,,,
