setid,"MolaLity of D-glucose, mol/kg","MolaLity of 1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LaaDB,0.2,0.1225,298.15,101,1025.08,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.2,0.156,298.15,101,1028.93,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.2,0.1816,298.15,101,1031.83,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.2,0.25,298.15,101,1039.4,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.4,0,298.15,101,1023.12,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.4,0.0504,298.15,101,1028.98,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.4,0.0761,298.15,101,1031.89,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.4,0.1003,298.15,101,1034.61,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.4,0.12,298.15,101,1036.79,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.4,0.1881,298.15,101,1044.11,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.8,0,298.15,101,1046.88,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.8,0.0805,298.15,101,1055.34,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.8,0.1001,298.15,101,1057.33,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.8,0.12,298.15,101,1059.35,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.8,0.1592,298.15,101,1063.24,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.8,0.1864,298.15,101,1065.89,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,0.8,0.2353,298.15,101,1070.56,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.2,0,298.15,101,1068.58,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.2,0.0514,298.15,101,1073.55,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.2,0.0771,298.15,101,1075.98,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.2,0.0971,298.15,101,1077.83,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.2,0.1205,298.15,101,1080.01,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.2,0.1742,298.15,101,1084.93,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.2,0.1946,298.15,101,1086.73,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.2,0.2269,298.15,101,1089.53,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.6,0,298.15,101,1088.48,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.6,0.05,298.15,101,1092.91,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.6,0.0806,298.15,101,1095.56,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.6,0.1259,298.15,101,1099.41,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.6,0.1442,298.15,101,1100.9,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.6,0.1589,298.15,101,1102.12,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
LaaDB,1.6,0.1776,298.15,101,1103.67,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide"
