setid,"Temperature, K","MolaLity of N-butyl-N-methylmorpholinium N-acetyl-L-leucinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NNqgU,298.15,0.016,101.3,997.561,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,298.15,0.024,101.3,997.817,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,298.15,0.0386,101.3,998.281,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,298.15,0.056,101.3,998.83,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,298.15,0.0762,101.3,999.465,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,298.15,0.1085,101.3,1000.47,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,298.15,0.1302,101.3,1001.14,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,298.15,0.1609,101.3,1002.09,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,298.15,0.1948,101.3,1003.12,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,298.15,0.246,101.3,1004.67,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,303.15,0,101.3,995.646,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,303.15,0.016,101.3,996.148,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,303.15,0.024,101.3,996.397,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,303.15,0.0386,101.3,996.85,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,303.15,0.056,101.3,997.388,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,303.15,0.0762,101.3,998.003,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,303.15,0.1085,101.3,998.983,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,303.15,0.1302,101.3,999.636,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,303.15,0.1609,101.3,1000.55,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,303.15,0.1948,101.3,1001.55,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,303.15,0.246,101.3,1003.05,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,308.15,0,101.3,994.031,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,308.15,0.016,101.3,994.522,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,308.15,0.024,101.3,994.765,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,308.15,0.0386,101.3,995.206,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,308.15,0.056,101.3,995.731,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,308.15,0.0762,101.3,996.327,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,308.15,0.1085,101.3,997.287,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,308.15,0.1302,101.3,997.921,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,308.15,0.1609,101.3,998.815,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,308.15,0.1948,101.3,999.783,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,308.15,0.246,101.3,1001.25,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,313.15,0,101.3,992.221,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,313.15,0.016,101.3,992.7,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,313.15,0.024,101.3,992.936,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,313.15,0.0386,101.3,993.366,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,313.15,0.056,101.3,993.877,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,313.15,0.0762,101.3,994.46,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,313.15,0.1085,101.3,995.393,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,313.15,0.1302,101.3,996.014,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,313.15,0.1609,101.3,996.884,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,313.15,0.1948,101.3,997.827,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
NNqgU,313.15,0.246,101.3,999.25,Warminska and Kloskowski (2023),Density,Liquid,ABLccO,CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,AADYJk,O,water,,,
