setid,"Temperature, K",Mole fraction of 1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Qulhk,293.15,0.4922,100,1146.8,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,293.15,0.5996,100,1149,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,293.15,0.6966,100,1150.8,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,293.15,0.7973,100,1152.5,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,293.15,0.8997,100,1154.7,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,293.15,1,100,1159.1,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,298.15,0,100,1095.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,298.15,0.1009,100,1129,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,298.15,0.1996,100,1138.6,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,298.15,0.3012,100,1140.8,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,298.15,0.3985,100,1141.7,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,298.15,0.4922,100,1143.1,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,298.15,0.5996,100,1145.4,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,298.15,0.6966,100,1147.3,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,298.15,0.7973,100,1149,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,298.15,0.8997,100,1151.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,298.15,1,100,1155.5,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,303.15,0,100,1090.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,303.15,0.1009,100,1124.5,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,303.15,0.1996,100,1134.3,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,303.15,0.3012,100,1136.9,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,303.15,0.3985,100,1138.1,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,303.15,0.4922,100,1139.4,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,303.15,0.5996,100,1141.8,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,303.15,0.6966,100,1143.7,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,303.15,0.7973,100,1145.5,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,303.15,0.8997,100,1147.7,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,303.15,1,100,1151.8,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,308.15,0,100,1085.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,308.15,0.1009,100,1119.9,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,308.15,0.1996,100,1129.9,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,308.15,0.3012,100,1133,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,308.15,0.3985,100,1134.1,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,308.15,0.4922,100,1135.7,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,308.15,0.5996,100,1138.1,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,308.15,0.6966,100,1140.1,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,308.15,0.7973,100,1142,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,308.15,0.8997,100,1144.1,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,308.15,1,100,1148.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,313.15,0,100,1080.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,313.15,0.1009,100,1115,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,313.15,0.1996,100,1125.8,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,313.15,0.3012,100,1128.6,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,313.15,0.3985,100,1130.3,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,313.15,0.4922,100,1131.9,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,313.15,0.5996,100,1134.4,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,313.15,0.6966,100,1136.4,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,313.15,0.7973,100,1138.4,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,313.15,0.8997,100,1140.6,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,313.15,1,100,1144.5,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,318.15,0,100,1075.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,318.15,0.1009,100,1110.5,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,318.15,0.1996,100,1121.5,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,318.15,0.3012,100,1124.8,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,318.15,0.3985,100,1126.5,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,318.15,0.4922,100,1128.2,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,318.15,0.5996,100,1130.8,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,318.15,0.6966,100,1132.8,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,318.15,0.7973,100,1134.9,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,318.15,0.8997,100,1137.1,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
Qulhk,318.15,1,100,1140.8,Wang et al. (2022k),Density,Liquid,AAxZXm,NC(C)C(=O)[O-].COCCCCN1C=[N+](C=C1)C,1-(4-methoxybutyl)-3-methylimidazolium DL-alaninate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
