setid,Mole fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,"Temperature, K",Solvent: Weight fraction of sulfuric acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
chReu,0.0104,308.2,0.955,100,1796.6,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0104,313.2,0.955,100,1792,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0176,293.2,0.955,100,1793.7,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0176,298.2,0.955,100,1788.2,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0176,303.2,0.955,100,1783,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0176,308.2,0.955,100,1781.1,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0176,313.2,0.955,100,1777.3,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0364,293.2,0.955,100,1754.7,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0364,298.2,0.955,100,1749.7,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0364,303.2,0.955,100,1745,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0364,308.2,0.955,100,1741.1,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0364,313.2,0.955,100,1738.8,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0532,293.2,0.955,100,1716.7,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0532,298.2,0.955,100,1711.8,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0532,303.2,0.955,100,1707.4,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0532,308.2,0.955,100,1703.9,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.0532,313.2,0.955,100,1700.7,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.1,293.2,0.955,100,1645.5,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.1,298.2,0.955,100,1640.7,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.1,303.2,0.955,100,1635.8,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.1,308.2,0.955,100,1630.9,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.1,313.2,0.955,100,1626,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.2,293.2,0.955,100,1538.4,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.2,298.2,0.955,100,1533.7,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.2,303.2,0.955,100,1529.1,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.2,308.2,0.955,100,1524.5,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.2,313.2,0.955,100,1519.8,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.3,293.2,0.955,100,1469,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.3,298.2,0.955,100,1464.6,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.3,303.2,0.955,100,1460.2,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.3,308.2,0.955,100,1455.7,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.3,313.2,0.955,100,1451.3,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.4,293.2,0.955,100,1422.9,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.4,298.2,0.955,100,1418.6,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.4,303.2,0.955,100,1414.4,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.4,308.2,0.955,100,1410.1,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.4,313.2,0.955,100,1405.8,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.5,293.2,0.955,100,1389.4,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.5,298.2,0.955,100,1385.3,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.5,303.2,0.955,100,1381.2,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.5,308.2,0.955,100,1377.1,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.5,313.2,0.955,100,1373,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.6,293.2,0.955,100,1365,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.6,298.2,0.955,100,1361,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.6,303.2,0.955,100,1357,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.6,308.2,0.955,100,1352.9,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.6,313.2,0.955,100,1348.9,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.7,293.2,0.955,100,1344.5,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.7,298.2,0.955,100,1340.5,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.7,303.2,0.955,100,1336.5,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.7,308.2,0.955,100,1332.4,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.7,313.2,0.955,100,1328.4,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.8,293.2,0.955,100,1327.8,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.8,298.2,0.955,100,1323.8,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.8,303.2,0.955,100,1319.8,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.8,308.2,0.955,100,1315.8,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.8,313.2,0.955,100,1311.9,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.9,293.2,0.955,100,1314.2,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.9,298.2,0.955,100,1310.2,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.9,303.2,0.955,100,1306.3,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.9,308.2,0.955,100,1302.3,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,0.9,313.2,0.955,100,1298.3,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,1,293.2,0.955,100,1302.5,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,1,298.2,0.955,100,1299.2,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,1,303.2,0.955,100,1295.7,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,1,308.2,0.955,100,1291.3,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
chReu,1,313.2,0.955,100,1286.9,Zhang et al. (2018j),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AASskD,O=S(=O)(O)O,sulfuric acid,AADYJk,O,water
