setid,"Temperature, K","Solvent: MolaLity of 1-ethyl-3-methylimidazolium tetrafluoroborate, mol/kg","MolaLity of lithium perchlorate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NvEjF,298.15,0.03,0.005,100,998.733,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.03,0.007,100,998.878,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.03,0.009,100,999.023,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.03,0.011,100,999.168,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.05,0,100,999.09,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.05,0.001,100,999.161,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.05,0.003,100,999.304,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.05,0.005,100,999.447,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.05,0.007,100,999.59,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.05,0.009,100,999.733,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,298.15,0.05,0.011,100,999.876,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.01,0,100,996.319,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.01,0.001,100,996.392,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.01,0.003,100,996.539,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.01,0.005,100,996.685,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.01,0.007,100,996.831,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.01,0.009,100,996.978,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.01,0.011,100,997.124,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.03,0,100,996.97,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.03,0.001,100,997.042,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.03,0.003,100,997.186,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.03,0.005,100,997.33,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.03,0.007,100,997.473,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.03,0.009,100,997.617,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.03,0.011,100,997.761,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.05,0,100,997.656,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.05,0.001,100,997.727,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.05,0.003,100,997.868,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.05,0.005,100,998.01,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.05,0.007,100,998.151,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.05,0.009,100,998.292,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,303.15,0.05,0.011,100,998.434,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.01,0,100,994.693,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.01,0.001,100,994.766,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.01,0.003,100,994.911,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.01,0.005,100,995.056,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.01,0.007,100,995.201,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.01,0.009,100,995.346,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.01,0.011,100,995.492,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.03,0,100,995.292,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.03,0.001,100,995.363,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.03,0.003,100,995.506,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.03,0.005,100,995.649,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.03,0.007,100,995.791,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.03,0.009,100,995.934,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.03,0.011,100,996.076,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.05,0,100,996.007,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.05,0.001,100,996.077,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.05,0.003,100,996.217,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.05,0.005,100,996.357,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.05,0.007,100,996.497,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.05,0.009,100,996.637,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,308.15,0.05,0.011,100,996.778,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.01,0,100,992.862,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.01,0.001,100,992.934,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.01,0.003,100,993.078,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.01,0.005,100,993.223,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.01,0.007,100,993.367,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.01,0.009,100,993.511,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.01,0.011,100,993.655,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.03,0,100,993.396,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.03,0.001,100,993.467,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.03,0.003,100,993.608,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.03,0.005,100,993.75,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.03,0.007,100,993.891,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.03,0.009,100,994.032,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.03,0.011,100,994.174,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.05,0,100,994.157,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.05,0.001,100,994.226,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.05,0.003,100,994.365,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.05,0.005,100,994.504,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.05,0.007,100,994.643,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.05,0.009,100,994.782,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,313.15,0.05,0.011,100,994.921,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.01,0,100,990.857,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.01,0.001,100,990.929,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.01,0.003,100,991.072,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.01,0.005,100,991.215,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.01,0.007,100,991.358,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
NvEjF,318.15,0.01,0.009,100,991.501,Rana et al. (2023),Density,Liquid,AAUXsj,[Li+].[O-]Cl(=O)(=O)=O,lithium perchlorate,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
