setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium dimethyl phosphate",Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DaIxB,298.15,0.7002,0.1518,100,1136,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,298.15,0.8012,0.0988,100,1169,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,298.15,0.913,0.043,100,1209,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,303.15,0.1,0.445,100,947,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,303.15,0.2,0.403,100,968,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,303.15,0.3005,0.3525,100,995,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,303.15,0.401,0.305,100,1030,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,303.15,0.5013,0.2507,100,1058,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,303.15,0.6002,0.1998,100,1098,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,303.15,0.7002,0.1518,100,1129,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,303.15,0.8012,0.0988,100,1165,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,303.15,0.913,0.043,100,1203,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,313.15,0.1,0.445,100,942,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,313.15,0.2,0.403,100,960,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,313.15,0.3005,0.3525,100,988,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,313.15,0.401,0.305,100,1020,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,313.15,0.5013,0.2507,100,1051,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,313.15,0.6002,0.1998,100,1088,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,313.15,0.7002,0.1518,100,1120,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,313.15,0.8012,0.0988,100,1152,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,313.15,0.913,0.043,100,1192,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,323.15,0.1,0.445,100,936,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,323.15,0.2,0.403,100,953,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,323.15,0.3005,0.3525,100,979,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,323.15,0.401,0.305,100,1012,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,323.15,0.5013,0.2507,100,1042,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,323.15,0.6002,0.1998,100,1076,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,323.15,0.7002,0.1518,100,1108,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,323.15,0.8012,0.0988,100,1141,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,323.15,0.913,0.043,100,1181,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,333.15,0.1,0.445,100,932,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,333.15,0.2,0.403,100,948,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,333.15,0.3005,0.3525,100,974,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,333.15,0.401,0.305,100,1003,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,333.15,0.5013,0.2507,100,1034,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,333.15,0.6002,0.1998,100,1067,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,333.15,0.7002,0.1518,100,1098,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,333.15,0.8012,0.0988,100,1130,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
DaIxB,333.15,0.913,0.043,100,1171,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate"
