setid,"Temperature, K","Solvent: MolaLity of 1-ethyl-3-methylimidazolium tetrafluoroborate, mol/kg","MolaLity of lithium iodide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LvaTm,303.15,0.01,0.003,100,996.661,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.01,0.005,100,996.889,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.01,0.007,100,997.116,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.01,0.009,100,997.344,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.01,0.011,100,997.572,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.03,0,100,996.97,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.03,0.001,100,997.083,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.03,0.003,100,997.308,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.03,0.005,100,997.533,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.03,0.007,100,997.758,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.03,0.009,100,997.983,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.03,0.011,100,998.208,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.05,0,100,997.656,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.05,0.001,100,997.766,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.05,0.003,100,997.986,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.05,0.005,100,998.207,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.05,0.007,100,998.427,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.05,0.009,100,998.647,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,303.15,0.05,0.011,100,998.867,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.01,0,100,994.693,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.01,0.001,100,994.804,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.01,0.003,100,995.026,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.01,0.005,100,995.248,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.01,0.007,100,995.469,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.01,0.009,100,995.691,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.01,0.011,100,995.913,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.03,0,100,995.292,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.03,0.001,100,995.402,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.03,0.003,100,995.622,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.03,0.005,100,995.843,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.03,0.007,100,996.063,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.03,0.009,100,996.283,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.03,0.011,100,996.503,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.05,0,100,996.067,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.05,0.001,100,996.175,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.05,0.003,100,996.391,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.05,0.005,100,996.608,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.05,0.007,100,996.824,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.05,0.009,100,997.04,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,308.15,0.05,0.011,100,997.256,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.01,0,100,992.862,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.01,0.001,100,992.97,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.01,0.003,100,993.186,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.01,0.005,100,993.403,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.01,0.007,100,993.619,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.01,0.009,100,993.835,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.01,0.011,100,994.051,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.03,0,100,993.396,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.03,0.001,100,993.504,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.03,0.003,100,993.719,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.03,0.005,100,993.934,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.03,0.007,100,994.149,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.03,0.009,100,994.364,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.03,0.011,100,994.579,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.05,0,100,994.157,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.05,0.001,100,994.263,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.05,0.003,100,994.474,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.05,0.005,100,994.685,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.05,0.007,100,994.897,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.05,0.009,100,995.108,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,313.15,0.05,0.011,100,995.319,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.01,0,100,990.857,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.01,0.001,100,990.962,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.01,0.003,100,991.173,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.01,0.005,100,991.384,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.01,0.007,100,991.595,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.01,0.009,100,991.806,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.01,0.011,100,992.016,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.03,0,100,991.393,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.03,0.001,100,991.498,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.03,0.003,100,991.707,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.03,0.005,100,991.916,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.03,0.007,100,992.125,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.03,0.009,100,992.334,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.03,0.011,100,992.544,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.05,0,100,992.125,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.05,0.001,100,992.227,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
LvaTm,318.15,0.05,0.003,100,992.432,Rana et al. (2023),Density,Liquid,AAZmvX,[I-].[Li+],lithium iodide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
