setid,"Temperature, K","Pressure, kPa","MolaLity of hydrogen sulfide, mol/kg","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gZHwX,343.15,998.1,1.351,0.0001348,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,343.15,1294.7,1.811,0.0001288,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,343.15,1614,2.346,0.0001228,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,353.15,96,0.101,0.0001576,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,353.15,221.7,0.237,0.0001548,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,353.15,395.3,0.426,0.000151,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,353.15,566.9,0.626,0.0001473,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,353.15,863.6,0.975,0.0001415,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,353.15,1116.7,1.282,0.0001369,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,353.15,1409.7,1.659,0.0001318,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
gZHwX,353.15,1760.1,2.146,0.0001261,Jalili et al. (2019),Density,Liquid,AAGcjK,S,hydrogen sulfide,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
