setid,Mole fraction of 1-methyl-3-octylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fTWZT,0.439,308.15,97.6,1030.9,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.439,313.15,97.6,1027.5,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.439,318.15,97.6,1024.2,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.439,323.15,97.6,1020.8,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.439,328.15,97.6,1017.5,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.439,333.15,97.6,1014.2,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.439,338.15,97.6,1010.9,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.439,343.15,97.6,1007.6,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.439,348.15,97.6,1004.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.439,353.15,97.6,1001,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.574,303.15,97.6,1025.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
