setid,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrabutylammonium nitrate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BYfBi,308.15,0.0001,100,0.01,994.254,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,308.15,0.0002,100,0.01,994.26,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,308.15,0.0003,100,0.01,994.265,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,308.15,0.0004,100,0.01,994.269,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,308.15,0.0005,100,0.01,994.273,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,308.15,0.0006,100,0.01,994.278,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,308.15,0.0007,100,0.01,994.282,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,308.15,0.0008,100,0.01,994.287,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,308.15,0.0009,100,0.01,994.291,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,308.15,0.001,100,0.01,994.296,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,313.15,0.0001,100,0.01,992.326,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,313.15,0.0002,100,0.01,992.331,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,313.15,0.0003,100,0.01,992.337,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,313.15,0.0004,100,0.01,992.342,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,313.15,0.0005,100,0.01,992.348,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,313.15,0.0006,100,0.01,992.353,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,313.15,0.0007,100,0.01,992.359,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,313.15,0.0008,100,0.01,992.362,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,313.15,0.0009,100,0.01,992.367,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
BYfBi,313.15,0.001,100,0.01,992.374,Kaur and Chauhan (2020),Density,Liquid,ABGchb,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])[O-],tetrabutylammonium nitrate,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
