setid,"Temperature, K","MolaLity of N-dodecyl-N,N-dimethylbenzenemethanaminium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oCPqX,303.15,0.04,101,996.9,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,303.15,0.04,101,996.9,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,303.15,0.04,101,996.9,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,303.15,0.08,101,996.5,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,303.15,0.08,101,996.5,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,303.15,0.08,101,996.5,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,303.15,0.08,101,996.6,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,308.15,0.04,101,993.6,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,308.15,0.04,101,993.6,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,308.15,0.04,101,993.7,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,308.15,0.08,101,993.3,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,308.15,0.08,101,993.3,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,308.15,0.08,101,993.3,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
oCPqX,308.15,0.08,101,993.3,Yan et al. (2019),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
