setid,Weight fraction of lithium nitrate,Weight fraction of 1-ethyl-3-methylimidazolium diethyl phosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KUIVq,0.45,0.15,323.15,100,1327,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.45,0.15,333.15,100,1320,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.45,0.15,343.15,100,1312,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.45,0.15,353.15,100,1305,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.45,0.15,363.15,100,1297,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.45,0.15,373.15,100,1290,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4875,0.1625,303.15,100,1380,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4875,0.1625,313.15,100,1372,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4875,0.1625,323.15,100,1364,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4875,0.1625,333.15,100,1356,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4875,0.1625,343.15,100,1348,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4875,0.1625,353.15,100,1341,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4875,0.1625,363.15,100,1333,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.4875,0.1625,373.15,100,1325,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.525,0.175,303.15,100,1416,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.525,0.175,313.15,100,1408,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.525,0.175,323.15,100,1400,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.525,0.175,333.15,100,1392,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.525,0.175,343.15,100,1384,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.525,0.175,353.15,100,1376,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.525,0.175,363.15,100,1369,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
KUIVq,0.525,0.175,373.15,100,1361,Luo et al. (2018a),Density,Liquid,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AADYJk,O,water
