setid,"Temperature, K",Weight fraction of methyltriphenylphosphonium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SGGQa,303.15,0.2306,101,1099.3,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,303.15,0.2998,101,1116.7,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,308.15,0,101,1028.7,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,308.15,0.1578,101,1075.6,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,308.15,0.2306,101,1095.5,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,308.15,0.2998,101,1113,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,313.15,0,101,1025.1,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,313.15,0.1578,101,1071.8,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,313.15,0.2306,101,1091.8,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,313.15,0.2998,101,1109.4,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,318.15,0,101,1021.3,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,318.15,0.1578,101,1068.1,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,318.15,0.2306,101,1088.1,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,318.15,0.2998,101,1105.7,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,323.15,0,101,1017.5,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,323.15,0.1578,101,1064.3,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,323.15,0.2306,101,1084.4,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,323.15,0.2998,101,1102,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,328.15,0,101,1013.9,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,328.15,0.1578,101,1060.5,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,328.15,0.2306,101,1080.6,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,328.15,0.2998,101,1098.3,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,333.15,0,101,1010.1,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,333.15,0.1578,101,1056.8,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,333.15,0.2306,101,1076.9,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,333.15,0.2998,101,1094.7,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,338.15,0,101,1006.4,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,338.15,0.1578,101,1053,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,338.15,0.2306,101,1073.2,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,338.15,0.2998,101,1091,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,343.15,0,101,1002.3,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,343.15,0.1578,101,1049.2,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,343.15,0.2306,101,1069.4,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,343.15,0.2998,101,1087.3,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,348.15,0,101,998.6,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,348.15,0.1578,101,1045.5,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,348.15,0.2306,101,1065.7,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,348.15,0.2998,101,1083.6,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,353.15,0,101,995,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,353.15,0.1578,101,1041.7,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,353.15,0.2306,101,1062,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
SGGQa,353.15,0.2998,101,1080.1,Ghaedi et al. (2019),Density,Liquid,ABQkxU,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],methyltriphenylphosphonium bromide,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,,,
