setid,"Temperature, K","MolaLity of octyl trimethyl ammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VJTam,298.15,0.04535,101,998.261,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,298.15,0.09122,101,999.486,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,298.15,0.12226,101,1000.3,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,298.15,0.14439,101,1000.84,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,298.15,0.17592,101,1001.75,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,298.15,0.1958,101,1002.13,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,298.15,0.23376,101,1003.15,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,298.15,0.26209,101,1003.84,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,298.15,0.27732,101,1004.24,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,298.15,0.30027,101,1004.76,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,303.15,0,101,995.647,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,303.15,0.04535,101,996.848,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,303.15,0.09122,101,998.045,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,303.15,0.12226,101,998.815,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,303.15,0.14439,101,999.391,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,303.15,0.17592,101,1000.2,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,303.15,0.1958,101,1000.69,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,303.15,0.23376,101,1001.63,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,303.15,0.26209,101,1002.32,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,303.15,0.27732,101,1002.69,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
VJTam,303.15,0.30027,101,1003.25,Patil et al. (2016),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
