setid,"Temperature, K","MolaLity of 1-(2-carboxyethyl)-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cYFJA,308.15,0.34988,100,1008.17,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,308.15,0.40075,100,1010.31,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,313.15,0.07548,100,994.99,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,313.15,0.1,100,995.94,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,313.15,0.12527,100,996.98,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,313.15,0.15246,100,997.99,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,313.15,0.20013,100,1000.02,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,313.15,0.25196,100,1002.07,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,313.15,0.30123,100,1004.25,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,313.15,0.34988,100,1005.96,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
cYFJA,313.15,0.40075,100,1008.1,Bagany et al. (2021),Density,Liquid,AAkiPK,Cn1cc[n+](CCC(=O)O)c1.[Cl-],1-(2-carboxyethyl)-3-methylimidazolium chloride,AADYJk,O,water,,,
