setid,"MolaLity of 1-butyl-2,3-dimethylimidazolium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tIZRj,0.1168,293.15,100,999.75,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
tIZRj,0.1168,298.15,100,998.58,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
tIZRj,0.1168,303.15,100,997.18,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
tIZRj,0.1168,308.15,100,995.55,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
tIZRj,0.1168,313.15,100,993.73,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
tIZRj,0.1168,318.15,100,991.72,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
tIZRj,0.1298,288.15,100,1000.8,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
tIZRj,0.1298,293.15,100,999.9,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
tIZRj,0.1298,298.15,100,998.74,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
tIZRj,0.1298,303.15,100,997.33,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
tIZRj,0.1298,308.15,100,995.7,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
tIZRj,0.1298,313.15,100,993.87,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
tIZRj,0.1298,318.15,100,991.86,Jain and Zodape (2022),Density,Liquid,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",AADYJk,O,water,,,
