setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JqfRX,288.15,0.25387,84.5,1007.95,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.0095,84.5,998.589,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.01379,84.5,998.766,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.01652,84.5,998.876,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.02179,84.5,999.09,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.02615,84.5,999.268,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.03106,84.5,999.467,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.03338,84.5,999.559,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.03819,84.5,999.755,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.0406,84.5,999.853,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.04332,84.5,999.954,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.04614,84.5,1000.06,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.05515,84.5,1000.37,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.06396,84.5,1000.67,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.07815,84.5,1001.15,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.12199,84.5,1002.6,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.17259,84.5,1004.24,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.22474,84.5,1005.89,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,293.15,0.25387,84.5,1006.79,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.0095,84.5,997.416,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.01379,84.5,997.587,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.01652,84.5,997.693,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.02179,84.5,997.899,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.02615,84.5,998.07,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.03106,84.5,998.263,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.03338,84.5,998.353,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.03819,84.5,998.54,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.0406,84.5,998.636,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.04332,84.5,998.732,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.04614,84.5,998.829,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.05515,84.5,999.136,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.06396,84.5,999.429,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.07815,84.5,999.895,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.12199,84.5,1001.31,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.17259,84.5,1002.91,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.22474,84.5,1004.51,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,298.15,0.25387,84.5,1005.39,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.0095,84.5,996.005,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.01379,84.5,996.169,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.01652,84.5,996.273,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.02179,84.5,996.475,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.02615,84.5,996.639,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.03106,84.5,996.825,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.03338,84.5,996.912,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.03819,84.5,997.092,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.0406,84.5,997.186,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.04332,84.5,997.276,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.04614,84.5,997.377,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.05515,84.5,997.672,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.06396,84.5,997.957,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.07815,84.5,998.413,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.12199,84.5,999.792,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.17259,84.5,1001.35,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.22474,84.5,1002.91,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,303.15,0.25387,84.5,1003.77,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.0095,84.5,994.377,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.01379,84.5,994.536,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.01652,84.5,994.638,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.02179,84.5,994.831,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.02615,84.5,994.993,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.03106,84.5,995.17,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.03338,84.5,995.253,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.03819,84.5,995.428,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.0406,84.5,995.52,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.04332,84.5,995.61,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.04614,84.5,995.708,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.05515,84.5,995.996,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.06396,84.5,996.274,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.07815,84.5,996.719,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.12199,84.5,998.067,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.17259,84.5,999.588,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.22474,84.5,1001.11,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
JqfRX,308.15,0.25387,84.5,1001.95,Naderi and Sadeghi (2016),Density,Liquid,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
