setid,"Temperature, K","MolaLity of sodium trifluoroacetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eEYLF,313.15,0.06986,101,997.536,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,313.15,0.09054,101,999.098,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,313.15,0.10985,101,1000.55,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,313.15,0.13031,101,1002.09,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,313.15,0.15164,101,1003.68,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,313.15,0.17009,101,1005.06,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,313.15,0.18684,101,1006.31,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,313.15,0.20933,101,1007.97,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,313.15,0.22337,101,1009,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,328.15,0.0205,101,987.222,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,328.15,0.03568,101,988.357,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,328.15,0.05791,101,989.995,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,328.15,0.0782,101,991.497,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,328.15,0.09771,101,992.939,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,328.15,0.11848,101,994.458,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,328.15,0.1575,101,997.302,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,328.15,0.18321,101,999.15,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
eEYLF,328.15,0.20372,101,1000.63,Hedwig and Hakin (2010),Density,Liquid,AAaICh,O=C([O-])C(F)(F)F.[Na+],sodium trifluoroacetate,AADYJk,O,water,,,
