setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium chloride,Weight fraction of rubidium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OAlXf,298.15,0.2161,0.2701,101,1283.8,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,298.15,0.3164,0.1879,101,1214.6,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,298.15,0.4253,0.1098,101,1155.5,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,298.15,0.5471,0.0507,101,1120.39,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,298.15,0.6667,0.0121,101,1115.32,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,298.15,0.7686,0.0031,101,1125.7,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,308.15,0,0.5035,101,1517.55,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,308.15,0.0644,0.4376,101,1443.8,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,308.15,0.1307,0.3702,101,1369.7,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,308.15,0.2115,0.2931,101,1295.9,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,308.15,0.3113,0.2139,101,1222.4,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,308.15,0.4251,0.1275,101,1160.91,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,308.15,0.5461,0.0633,101,1120.9,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,308.15,0.6717,0.0137,101,1110.11,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
OAlXf,308.15,0.7622,0.0045,101,1120.2,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAXNrG,[Cl-].[Rb+],rubidium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
