setid,"Temperature, K","MolaLity of cholinium nicotinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kajVF,308.15,0.0061,100,994.18,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,308.15,0.0078,100,994.23,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,308.15,0.0099,100,994.29,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,308.15,0.0118,100,994.35,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,308.15,0.0144,100,994.44,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,308.15,0.0175,100,994.54,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,308.15,0.0223,100,994.72,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,308.15,0.0273,100,994.92,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,308.15,0.0309,100,995.06,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,308.15,0.0362,100,995.28,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,313.15,0.0048,100,992.27,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,313.15,0.0061,100,992.29,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,313.15,0.0078,100,992.33,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,313.15,0.0099,100,992.37,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,313.15,0.0118,100,992.41,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,313.15,0.0144,100,992.48,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,313.15,0.0175,100,992.57,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,313.15,0.0223,100,992.72,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,313.15,0.0273,100,992.89,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,313.15,0.0309,100,993.03,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
kajVF,313.15,0.0362,100,993.24,Vranes et al. (2019c),Density,Liquid,AAraVO,C[N+](C)(C)CCO.O=C([O-])c1cccnc1,cholinium nicotinate,AADYJk,O,water,,,
