setid,Weight fraction of lithium nitrate,Weight fraction of 1-butyl-3-methylimidazolium bromide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FPUdn,0.4,0.2,303.15,101,1360,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.4,0.2,313.15,101,1352,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.4,0.2,323.15,101,1345,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.4,0.2,333.15,101,1338,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.4,0.2,343.15,101,1331,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.4,0.2,353.15,101,1324,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.4,0.2,363.15,101,1317,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.4,0.2,373.15,101,1310,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.433,0.217,293.15,101,1400,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.433,0.217,303.15,101,1394,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.433,0.217,313.15,101,1388,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.433,0.217,323.15,101,1380,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.433,0.217,333.15,101,1373,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.433,0.217,343.15,101,1365,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.433,0.217,353.15,101,1357,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.433,0.217,363.15,101,1349,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.433,0.217,373.15,101,1341,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.467,0.233,293.15,101,1434,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.467,0.233,303.15,101,1427,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.467,0.233,313.15,101,1420,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.467,0.233,323.15,101,1412,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.467,0.233,333.15,101,1405,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.467,0.233,343.15,101,1398,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.467,0.233,353.15,101,1391,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.467,0.233,363.15,101,1384,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.467,0.233,373.15,101,1376,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.5,0.25,353.15,101,1427,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.5,0.25,358.15,101,1425,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.5,0.25,363.15,101,1421,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.5,0.25,368.15,101,1417,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
FPUdn,0.5,0.25,373.15,101,1413,Luo et al. (2017b),Density,Liquid,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
