setid,"Temperature, K",Mole fraction of ammonium isothiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bwOJZ,318.15,0.1998,101,1094.5,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,318.15,0.2514,101,1094.2,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,318.15,0.3001,101,1094.6,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,318.15,0.3199,101,1094.7,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,318.15,0.3413,101,1095.4,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,323.15,0,101,1085.7,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,323.15,0.02,101,1086.3,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,323.15,0.1002,101,1089,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,323.15,0.1998,101,1091.2,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,323.15,0.2514,101,1091,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,323.15,0.3001,101,1091.4,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,323.15,0.3199,101,1091.5,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,323.15,0.3413,101,1092.1,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,328.15,0,101,1082.7,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,328.15,0.02,101,1083.2,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,328.15,0.1002,101,1085.8,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,328.15,0.1998,101,1087.9,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,328.15,0.2514,101,1087.7,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,328.15,0.3001,101,1088,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,328.15,0.3199,101,1088.1,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,328.15,0.3413,101,1088.8,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,333.15,0,101,1079.7,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,333.15,0.02,101,1080.2,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,333.15,0.1002,101,1082.6,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,333.15,0.1998,101,1084.3,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,333.15,0.2514,101,1084.3,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,333.15,0.3001,101,1084.6,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,333.15,0.3199,101,1084.7,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
bwOJZ,333.15,0.3413,101,1085.4,Pereiro et al. (2012b),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
