setid,"MolaLity of 1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OgUmh,0.08,298.15,101.3,1116.3,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.08,303.15,101.3,1112.7,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.08,308.15,101.3,1109.2,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.08,313.15,101.3,1105.6,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.08,318.15,101.3,1102,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.08,323.15,101.3,1098.4,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.08,328.15,101.3,1094.7,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.2,293.15,101.3,1128.3,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.2,298.15,101.3,1124.7,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.2,303.15,101.3,1121.1,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.2,308.15,101.3,1117.5,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.2,313.15,101.3,1113.9,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.2,318.15,101.3,1110.3,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.2,323.15,101.3,1106.6,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
OgUmh,0.2,328.15,101.3,1102.9,Liu et al. (2023b),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AALwIY,OCCO,"1,2-ethanediol",,,
