setid,"Temperature, K","MolaLity of 1,3-diethyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UtgdR,298.15,0,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,298.15,0.0148,100,997.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,298.15,0.0185,100,997.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,298.15,0.0217,100,998.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,298.15,0.0271,100,998.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,298.15,0.0315,100,998.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,298.15,0.035,100,998.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,298.15,0.0437,100,999.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,298.15,0.0451,100,999.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,298.15,0.0502,100,999.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,303.15,0,100,995.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,303.15,0.0148,100,996.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,303.15,0.0185,100,996.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,303.15,0.0217,100,996.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,303.15,0.0271,100,996.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,303.15,0.0315,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,303.15,0.035,100,997.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,303.15,0.0437,100,997.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,303.15,0.0451,100,997.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,303.15,0.0502,100,997.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,308.15,0,100,994,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,308.15,0.0148,100,994.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,308.15,0.0185,100,994.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,308.15,0.0217,100,994.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,308.15,0.0271,100,994.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,308.15,0.0315,100,995.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,308.15,0.035,100,995.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,308.15,0.0437,100,995.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,308.15,0.0451,100,995.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
UtgdR,308.15,0.0502,100,996,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAnWVz,CCn1cc[n+](CC)c1.[Br-],"1,3-diethyl-1H-imidazolium bromide",,,
