setid,"Solvent: MolaLity of sodium bromide, mol/kg","MolaLity of ethylhexadecyldimethylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
crjqF,0.001,0.0008,323.15,101,986.82,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.001,298.15,101,996.64,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.001,303.15,101,994.68,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.001,308.15,101,992.71,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.001,313.15,101,990.75,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.001,318.15,101,988.81,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.001,323.15,101,986.83,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0012,298.15,101,996.65,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0012,303.15,101,994.69,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0012,308.15,101,992.73,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0012,313.15,101,990.76,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0012,318.15,101,988.82,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0012,323.15,101,986.85,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0016,298.15,101,996.67,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0016,303.15,101,994.71,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0016,308.15,101,992.74,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0016,313.15,101,990.77,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0016,318.15,101,988.83,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0016,323.15,101,986.86,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.002,298.15,101,996.68,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.002,303.15,101,994.72,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.002,308.15,101,992.75,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.002,313.15,101,990.78,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.002,318.15,101,988.83,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.002,323.15,101,986.87,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0025,298.15,101,996.69,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0025,303.15,101,994.73,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0025,308.15,101,992.76,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0025,313.15,101,990.79,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0025,318.15,101,988.82,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.0025,323.15,101,986.85,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.003,298.15,101,996.7,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.003,303.15,101,994.73,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.003,308.15,101,992.77,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.003,313.15,101,990.79,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.003,318.15,101,988.82,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.001,0.003,323.15,101,986.84,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0002,298.15,101,997.03,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0002,303.15,101,995.04,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0002,308.15,101,993.1,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0002,313.15,101,991.11,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0002,318.15,101,989.17,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0002,323.15,101,987.17,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0005,298.15,101,997.06,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0005,303.15,101,995.07,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0005,308.15,101,993.13,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0005,313.15,101,991.13,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0005,318.15,101,989.19,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0005,323.15,101,987.17,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0008,298.15,101,997.08,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0008,303.15,101,995.08,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0008,308.15,101,993.14,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0008,313.15,101,991.14,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0008,318.15,101,989.2,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0008,323.15,101,987.18,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.001,298.15,101,997.09,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.001,303.15,101,995.1,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.001,308.15,101,993.15,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.001,313.15,101,991.15,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.001,318.15,101,989.21,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.001,323.15,101,987.18,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0012,298.15,101,997.1,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0012,303.15,101,995.11,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0012,308.15,101,993.15,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0012,313.15,101,991.15,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0012,318.15,101,989.22,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0012,323.15,101,987.19,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0016,298.15,101,997.12,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0016,303.15,101,995.12,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0016,308.15,101,993.16,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0016,313.15,101,991.16,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0016,318.15,101,989.22,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0016,323.15,101,987.18,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.002,298.15,101,997.14,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.002,303.15,101,995.13,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.002,308.15,101,993.17,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.002,313.15,101,991.16,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.002,318.15,101,989.22,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.002,323.15,101,987.17,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0025,298.15,101,997.15,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0025,303.15,101,995.14,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0025,308.15,101,993.18,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0025,313.15,101,991.17,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
crjqF,0.005,0.0025,318.15,101,989.21,Bhat et al. (2014),Density,Liquid,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AAToTh,[Br-].[Na+],sodium bromide,AADYJk,O,water
