setid,"Temperature, K",Mole fraction of water,"Pressure, kPa",Solvent: Mole fraction of tetrabutylphosphonium bromide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xrhCT,293.15,1,101.3,0.333,998.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,298.15,0,101.3,0.333,1068.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,298.15,0.083,101.3,0.333,1068.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,298.15,0.209,101.3,0.333,1068,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,298.15,0.289,101.3,0.333,1067.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,298.15,0.409,101.3,0.333,1066.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,298.15,0.497,101.3,0.333,1066.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,298.15,0.609,101.3,0.333,1064.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,298.15,0.713,101.3,0.333,1061.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,298.15,0.793,101.3,0.333,1056.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,298.15,0.885,101.3,0.333,1044.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,298.15,1,101.3,0.333,997,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,303.15,0,101.3,0.333,1065.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,303.15,0.083,101.3,0.333,1065.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,303.15,0.209,101.3,0.333,1064.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,303.15,0.289,101.3,0.333,1064.3,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,303.15,0.409,101.3,0.333,1063.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,303.15,0.497,101.3,0.333,1062.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,303.15,0.609,101.3,0.333,1060.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,303.15,0.713,101.3,0.333,1057.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,303.15,0.793,101.3,0.333,1052.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,303.15,0.885,101.3,0.333,1040.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,303.15,1,101.3,0.333,995.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,308.15,0,101.3,0.333,1062.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,308.15,0.083,101.3,0.333,1061.9,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,308.15,0.209,101.3,0.333,1061.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,308.15,0.289,101.3,0.333,1060.9,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,308.15,0.409,101.3,0.333,1060,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,308.15,0.497,101.3,0.333,1059.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,308.15,0.609,101.3,0.333,1057.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,308.15,0.713,101.3,0.333,1054,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,308.15,0.793,101.3,0.333,1049.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,308.15,0.885,101.3,0.333,1037.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,308.15,1,101.3,0.333,994,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,313.15,0,101.3,0.333,1058.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,313.15,0.083,101.3,0.333,1058.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,313.15,0.209,101.3,0.333,1057.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,313.15,0.289,101.3,0.333,1057.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,313.15,0.409,101.3,0.333,1056.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,313.15,0.497,101.3,0.333,1055.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,313.15,0.609,101.3,0.333,1053.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,313.15,0.713,101.3,0.333,1050.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,313.15,0.793,101.3,0.333,1045.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,313.15,0.885,101.3,0.333,1033.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,313.15,1,101.3,0.333,992.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,318.15,0,101.3,0.333,1055.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,318.15,0.083,101.3,0.333,1055.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,318.15,0.209,101.3,0.333,1054.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,318.15,0.289,101.3,0.333,1053.9,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,318.15,0.409,101.3,0.333,1052.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,318.15,0.497,101.3,0.333,1051.9,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,318.15,0.609,101.3,0.333,1050.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,318.15,0.713,101.3,0.333,1047,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,318.15,0.793,101.3,0.333,1042.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,318.15,0.885,101.3,0.333,1030.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,318.15,1,101.3,0.333,990.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,323.15,0,101.3,0.333,1052.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,323.15,0.083,101.3,0.333,1051.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,323.15,0.209,101.3,0.333,1051,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,323.15,0.289,101.3,0.333,1050.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,323.15,0.409,101.3,0.333,1049.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,323.15,0.497,101.3,0.333,1048.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,323.15,0.609,101.3,0.333,1046.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,323.15,0.713,101.3,0.333,1043.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,323.15,0.793,101.3,0.333,1038.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,323.15,0.885,101.3,0.333,1027.3,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
xrhCT,323.15,1,101.3,0.333,988.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water
