setid,"Solvent: MolaLity of 1-octylpyridinium bromide, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Zamko,0.03,0.0604,303.15,100,998.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0804,278.15,100,1004.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0804,283.15,100,1003.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0804,288.15,100,1003.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0804,293.15,100,1002.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0804,298.15,100,1000.9,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.0804,303.15,100,999.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1003,278.15,100,1004.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1003,283.15,100,1004.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1003,288.15,100,1003.7,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1003,293.15,100,1002.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1003,298.15,100,1001.6,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.121,278.15,100,1005.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.121,283.15,100,1005.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.121,288.15,100,1004.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.121,293.15,100,1003.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.121,298.15,100,1002.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.121,303.15,100,1000.7,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1411,278.15,100,1006.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1411,283.15,100,1005.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1411,288.15,100,1005,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1411,293.15,100,1004.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1411,298.15,100,1002.9,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1411,303.15,100,1001.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1612,278.15,100,1006.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1612,283.15,100,1006.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1612,288.15,100,1005.7,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1612,293.15,100,1004.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1612,298.15,100,1003.6,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1612,303.15,100,1002,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1807,278.15,100,1007.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1807,283.15,100,1007.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1807,288.15,100,1006.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1807,293.15,100,1005.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1807,298.15,100,1004.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.1807,303.15,100,1002.7,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.202,278.15,100,1008.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.202,283.15,100,1007.9,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.202,288.15,100,1007.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.202,293.15,100,1006.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.202,298.15,100,1004.9,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.03,0.202,303.15,100,1003.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0,278.15,100,1002.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0,283.15,100,1002.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0,288.15,100,1001.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0,293.15,100,1000.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0,298.15,100,999.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0,303.15,100,997.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0201,283.15,100,1002.9,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0201,288.15,100,1002.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0201,303.15,100,998.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0402,278.15,100,1003.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0402,288.15,100,1002.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0402,293.15,100,1001.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0402,298.15,100,1000.6,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0402,303.15,100,999.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0598,278.15,100,1004.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0598,283.15,100,1004.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0598,293.15,100,1002.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0598,298.15,100,1001.3,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0598,303.15,100,999.7,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0794,278.15,100,1005.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0794,283.15,100,1004.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0794,288.15,100,1004,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0794,293.15,100,1003,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0794,298.15,100,1001.9,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.0794,303.15,100,1000.3,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1003,278.15,100,1005.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1003,283.15,100,1005.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1003,288.15,100,1004.7,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1003,293.15,100,1003.7,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1003,298.15,100,1002.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1003,303.15,100,1000.9,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1203,278.15,100,1006.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1203,283.15,100,1006.1,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1203,288.15,100,1005.4,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1203,293.15,100,1004.3,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1203,298.15,100,1003.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1203,303.15,100,1001.6,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1402,278.15,100,1007.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1402,283.15,100,1006.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1402,288.15,100,1006,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1402,293.15,100,1005,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1402,298.15,100,1003.8,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1402,303.15,100,1002.2,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1611,278.15,100,1007.9,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1611,283.15,100,1007.5,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
Zamko,0.05,0.1611,288.15,100,1006.7,Yan et al. (2020),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
