setid,Solvent: Weight fraction of acetone,Mole ratio to solvent: tetraphenylphosphonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dahDn,0.2,0,298.15,101.325,969.372,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.2,0.02603,298.15,101.325,971.16,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.2,0.05605,298.15,101.325,973.34,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.2,0.0827,298.15,101.325,974.9,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.2,0.11019,298.15,101.325,976.93,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.3,0,298.15,101.325,953.808,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.3,0.03818,298.15,101.325,956.62,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.3,0.05535,298.15,101.325,958.01,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.3,0.09283,298.15,101.325,960.58,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.3,0.11164,298.15,101.325,961.95,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.4,0,298.15,101.325,936.004,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
