setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpiperidinium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RWDQW,328.15,0,101,985.69,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,328.15,0.0649,101,993.11,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,328.15,0.1752,101,1002.86,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,328.15,0.2828,101,1007.79,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,328.15,0.3698,101,1010.04,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,328.15,0.4889,101,1011.91,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,328.15,0.6259,101,1013.15,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,328.15,0.7226,101,1013.62,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,328.15,0.8954,101,1014.06,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,328.15,1,101,1014.17,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,338.15,0,101,980.3,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,338.15,0.0649,101,987.32,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,338.15,0.1752,101,996.41,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,338.15,0.2828,101,1001.64,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,338.15,0.3698,101,1004.13,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,338.15,0.4889,101,1006.24,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,338.15,0.6259,101,1007.64,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,338.15,0.7226,101,1008.35,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,338.15,0.8954,101,1008.97,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,338.15,1,101,1009.13,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,348.15,0,101,974.75,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,348.15,0.0649,101,981.51,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,348.15,0.1752,101,989.86,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,348.15,0.2828,101,995.46,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,348.15,0.3698,101,998.2,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,348.15,0.4889,101,1000.58,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,348.15,0.6259,101,1002.19,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,348.15,0.7226,101,1003.02,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,348.15,0.8954,101,1003.78,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
RWDQW,348.15,1,101,1004.03,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AApLNt,CCCC[N+]1(C)CCCCC1.N#C[S-],1-butyl-1-methylpiperidinium thiocyanate,,,
