setid,"Temperature, K","MolaLity of N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AnqxP,298.15,0.1983,101,815.11,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,298.15,0.3978,101,841.72,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,298.15,0.5902,101,865.05,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,298.15,0.7922,101,887.5,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,298.15,0.998,101,908.3,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,298.15,1.184,101,925.8,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,298.15,1.399,101,944.5,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,298.15,1.7,101,968.3,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,298.15,1.995,101,989.1,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,298.15,2.487,101,1019.5,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,298.15,3.004,101,1046.5,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,0,101,780.93,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,0.0102,101,782.64,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,0.0195,101,784.16,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,0.0499,101,789.02,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,0.1028,101,797.01,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,0.1983,101,810.74,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,0.3978,101,837.3,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,0.5902,101,860.59,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,0.7922,101,883,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,0.998,101,903.8,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,1.184,101,921.2,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,1.399,101,939.9,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,1.7,101,963.6,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,1.995,101,984.5,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,2.487,101,1014.8,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,303.15,3.004,101,1041.8,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,0,101,776.58,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,0.0102,101,778.29,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,0.0195,101,779.81,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,0.0499,101,784.66,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,0.1028,101,792.64,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,0.1983,101,806.35,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,0.3978,101,832.85,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,0.5902,101,856.09,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,0.7922,101,878.5,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,0.998,101,899.2,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,1.184,101,916.6,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,1.399,101,935.3,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,1.7,101,959,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,1.995,101,979.8,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,2.487,101,1010.1,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,308.15,3.004,101,1037,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,0,101,772.19,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,0.0102,101,773.9,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,0.0195,101,775.42,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,0.0499,101,780.26,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,0.1028,101,788.23,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,0.1983,101,801.92,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,0.3978,101,828.37,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,0.5902,101,851.56,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,0.7922,101,873.9,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,0.998,101,894.6,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,1.184,101,912,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,1.399,101,930.6,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
AnqxP,313.15,1.7,101,954.2,Lu et al. (2020),Density,Liquid,ABjAEx,CC[N+](CC)=C(N(C)C)N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(bis(dimethylamino)methylene)-N-ethylethanaminium bis((trifluoromethyl)sulfonyl)amide,AAIsrh,CCO,ethanol,,,
