setid,"Temperature, K","MolaLity of N-methyl-N-octylmorpholinium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gGmBH,298.15,0.1585,101,789.72,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.1928,101,792.42,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.2268,101,795,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.2885,101,799.635,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,298.15,0.3486,101,803.981,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0,101,771.198,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.011,101,772.169,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.0181,101,772.788,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.0217,101,773.103,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.0274,101,773.598,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.0329,101,774.066,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.0448,101,775.079,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.0662,101,776.885,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.0893,101,778.804,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.1129,101,780.731,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.1585,101,784.4,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.1928,101,787.12,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.2268,101,789.717,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.2885,101,794.384,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,303.15,0.3486,101,798.761,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0,101,765.742,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.011,101,766.722,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.0181,101,767.347,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.0217,101,767.664,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.0274,101,768.163,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.0329,101,768.635,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.0448,101,769.658,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.0662,101,771.475,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.0893,101,773.408,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.1129,101,775.346,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.1585,101,779.046,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.1928,101,781.786,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.2268,101,784.399,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.2885,101,789.097,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,308.15,0.3486,101,793.504,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0,101,754.721,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.011,101,755.719,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.0181,101,756.356,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.0217,101,756.678,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.0274,101,757.187,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.0329,101,757.667,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.0448,101,758.707,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.0662,101,760.557,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.0893,101,762.523,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.1129,101,764.492,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.1585,101,768.243,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.1928,101,771.023,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.2268,101,773.672,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.2885,101,778.437,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,318.15,0.3486,101,782.903,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0,101,743.552,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.011,101,744.568,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.0181,101,745.216,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.0217,101,745.544,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.0274,101,746.061,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.0329,101,746.55,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.0448,101,747.607,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.0662,101,749.489,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.0893,101,751.487,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.1129,101,753.484,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.1585,101,757.301,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.1928,101,760.122,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.2268,101,762.813,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.2885,101,767.651,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
gGmBH,328.15,0.3486,101,772.19,Marcinkowski et al. (2019b),Density,Liquid,ABFvKd,CCCCCCCC[N+]1(C)CCOCC1.F[B-](F)(F)F,N-methyl-N-octylmorpholinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
