setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium octyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QqweP,288.15,1.287,101,876.6,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,298.15,0,101,799.5,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,298.15,0.175,101,812,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,298.15,0.443,101,828.7,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,298.15,0.72,101,843.9,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,298.15,0.991,101,856.5,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,298.15,1.306,101,870,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,308.15,0,101,791.4,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,308.15,0.196,101,805.5,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,308.15,0.459,101,821.8,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,308.15,0.756,101,838,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,308.15,0.96,101,847.4,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,308.15,1.272,101,861.1,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,318.15,0,101,783.2,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,318.15,0.199,101,797.7,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,318.15,0.454,101,813.5,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,318.15,0.738,101,828.9,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,318.15,1.003,101,841.9,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
QqweP,318.15,1.279,101,853.8,Orchilles et al. (2006),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
