setid,"Temperature, K","MolaLity of 1-methyl-3-octylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OUwab,298.15,0.0722,100,1000,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,298.15,0.0908,100,1000.8,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,298.15,0.1112,100,1001.6,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,298.15,0.1301,100,1002.4,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,298.15,0.1485,100,1003.1,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,298.15,0.1707,100,1004,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,298.15,0.191,100,1004.8,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,308.15,0.0323,100,995.3,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,308.15,0.0501,100,996,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,308.15,0.0722,100,996.8,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,308.15,0.0908,100,997.5,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,308.15,0.1112,100,998.3,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,308.15,0.1301,100,999,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,308.15,0.1485,100,999.7,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,308.15,0.1707,100,1000.5,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,308.15,0.191,100,1001.3,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,318.15,0.0323,100,991.4,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,318.15,0.0501,100,992,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,318.15,0.0722,100,992.8,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,318.15,0.0908,100,993.5,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,318.15,0.1112,100,994.2,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,318.15,0.1301,100,994.9,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,318.15,0.1485,100,995.5,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,318.15,0.1707,100,996.3,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
OUwab,318.15,0.191,100,997,Shekaari et al. (2015c),Density,Liquid,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
