setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium hydrogen sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ientr,303.15,0.577,100,1245.6,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,303.15,0.669,100,1278.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,303.15,0.776,100,1311.2,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,303.15,0.88,100,1337.5,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,303.15,1,100,1362.6,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,308.15,0,100,776.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,308.15,0.028,100,821.3,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,308.15,0.088,100,902.7,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,308.15,0.178,100,1000,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,308.15,0.338,100,1123.1,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,308.15,0.473,100,1197.4,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,308.15,0.577,100,1242.4,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,308.15,0.669,100,1275.5,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,308.15,0.776,100,1308,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,308.15,0.88,100,1334.3,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,308.15,1,100,1359.5,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,313.15,0,100,772.3,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,313.15,0.028,100,817,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,313.15,0.088,100,898.6,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,313.15,0.178,100,996.1,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,313.15,0.338,100,1119.5,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,313.15,0.473,100,1194,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,313.15,0.577,100,1239.1,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,313.15,0.669,100,1272.3,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,313.15,0.776,100,1304.8,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,313.15,0.88,100,1331.1,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
ientr,313.15,1,100,1356.4,Bhanuprakash et al. (2018),Density,Liquid,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,AAIsrh,CCO,ethanol,,,
