setid,"Temperature, K",Mole fraction of tetrabutylammonium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hAqYJ,313.15,0.8,101,980,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,323.15,0.5,101,1009,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,323.15,0.667,101,989,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,323.15,0.75,101,978,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,323.15,0.8,101,973,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,333.15,0.5,101,1003,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,333.15,0.667,101,983,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,333.15,0.75,101,972,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,333.15,0.8,101,968,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,343.15,0.5,101,997,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,343.15,0.667,101,976,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,343.15,0.75,101,966,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,343.15,0.8,101,961,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,353.15,0.5,101,991,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,353.15,0.667,101,970,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,353.15,0.75,101,960,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
hAqYJ,353.15,0.8,101,955,Mjalli et al. (2014b),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
