setid,"Temperature, K","MolaLity of 1-methyl-3-pentyl-imidazolium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MpcrL,283.15,1.4257,101,1034.14,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,288.15,0.1665,101,1003.32,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,288.15,0.2787,101,1006.15,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,288.15,0.4462,101,1010.28,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,288.15,0.5611,101,1013.08,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,288.15,0.8444,101,1019.67,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,288.15,1.1323,101,1025.89,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,288.15,1.4257,101,1032.16,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,293.15,0.1665,101,1002.26,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,293.15,0.2787,101,1004.97,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,293.15,0.4462,101,1008.95,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,293.15,0.5611,101,1011.67,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,293.15,0.8444,101,1017.98,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,293.15,1.1323,101,1024.08,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,293.15,1.4257,101,1030.09,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,298.15,0.1665,101,1000.96,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,298.15,0.2787,101,1003.59,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,298.15,0.4462,101,1007.43,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,298.15,0.5611,101,1010.09,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,298.15,0.8444,101,1016.22,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,298.15,1.1323,101,1022.15,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,298.15,1.4257,101,1027.95,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,303.15,0.1665,101,999.43,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,303.15,0.2787,101,1002,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,303.15,0.4462,101,1005.73,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,303.15,0.5611,101,1008.29,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,303.15,0.8444,101,1014.28,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,303.15,1.1323,101,1019.97,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,303.15,1.4257,101,1025.67,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,308.15,0.1665,101,997.69,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,308.15,0.2787,101,1000.17,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,308.15,0.4462,101,1003.79,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,308.15,0.5611,101,1006.31,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,308.15,0.8444,101,1012.08,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,308.15,1.1323,101,1017.72,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,308.15,1.4257,101,1023.15,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,313.15,0.1665,101,995.75,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,313.15,0.2787,101,998.16,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,313.15,0.4462,101,1001.67,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,313.15,0.5611,101,1004.08,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,313.15,0.8444,101,1009.71,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,313.15,1.1323,101,1015.1,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,313.15,1.4257,101,1020.52,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,318.15,0.1665,101,993.65,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,318.15,0.2787,101,995.98,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,318.15,0.4462,101,999.39,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,318.15,0.5611,101,1001.75,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,318.15,0.8444,101,1007.23,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,318.15,1.1323,101,1012.52,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,318.15,1.4257,101,1017.75,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,323.15,0.1665,101,991.4,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,323.15,0.2787,101,993.68,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,323.15,0.4462,101,997.01,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,323.15,0.5611,101,999.34,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,323.15,0.8444,101,1004.71,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,323.15,1.1323,101,1009.9,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,323.15,1.4257,101,1015.01,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,328.15,0.1665,101,988.97,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,328.15,0.2787,101,991.19,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,328.15,0.4462,101,994.45,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,328.15,0.5611,101,996.7,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,328.15,0.8444,101,1001.96,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,328.15,1.1323,101,1007,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,328.15,1.4257,101,1012.01,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,333.15,0.1665,101,986.44,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,333.15,0.2787,101,988.63,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,333.15,0.4462,101,991.85,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,333.15,0.5611,101,994.08,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,333.15,0.8444,101,999.25,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,333.15,1.1323,101,1004.29,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,333.15,1.4257,101,1009.24,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,338.15,0.1665,101,983.76,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,338.15,0.2787,101,985.94,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,338.15,0.4462,101,989.13,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,338.15,0.5611,101,991.34,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,338.15,0.8444,101,996.48,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,338.15,1.1323,101,1001.44,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,338.15,1.4257,101,1006.33,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,343.15,0.1665,101,980.91,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,343.15,0.2787,101,983.04,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,343.15,0.4462,101,986.16,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,343.15,0.5611,101,988.32,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,343.15,0.8444,101,993.35,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,343.15,1.1323,101,998.21,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,343.15,1.4257,101,1003.04,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
