setid,"Temperature, K","Solvent: MolaLity of 1-phenylpiperazinium tetrafluoroborate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hfhfN,298.15,0.055,0.1499,100,1005.43,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.055,0.1999,100,1007.02,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.055,0.25,100,1008.6,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.055,0.3,100,1010.1,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.055,0.3499,100,1011.62,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.055,0.4,100,1013.14,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.1,0.0499,100,1005.12,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.1,0.1,100,1006.76,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.1,0.1499,100,1008.36,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.1,0.2,100,1009.89,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.1,0.2499,100,1011.42,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.1,0.3,100,1012.96,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.1,0.3499,100,1014.47,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.1,0.3999,100,1015.68,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.025,0.0499,100,998.94,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.025,0.0999,100,1000.49,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.025,0.15,100,1002.05,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.025,0.2,100,1003.57,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.025,0.2499,100,1005.11,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.025,0.3,100,1006.63,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.025,0.35,100,1008.11,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.025,0.3999,100,1009.67,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.055,0.05,100,1000.85,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.055,0.1,100,1002.36,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.055,0.1499,100,1003.93,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.055,0.1999,100,1005.5,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.055,0.25,100,1007.07,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.055,0.3,100,1008.57,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.055,0.3499,100,1010.07,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.055,0.4,100,1011.58,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.1,0.0499,100,1003.61,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.1,0.1,100,1005.21,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.1,0.1499,100,1006.81,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.1,0.2,100,1008.34,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.1,0.2499,100,1009.85,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.1,0.3,100,1011.38,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.1,0.3499,100,1013.1,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,303.15,0.1,0.3999,100,1014.06,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.025,0.0499,100,997.29,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.025,0.0999,100,998.82,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.025,0.15,100,1000.38,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.025,0.2,100,1001.89,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.025,0.2499,100,1003.41,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.025,0.3,100,1004.92,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.025,0.35,100,1006.39,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.025,0.3999,100,1007.95,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.055,0.05,100,999.17,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.055,0.1,100,1000.67,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.055,0.1499,100,1002.23,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.055,0.1999,100,1003.79,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.055,0.25,100,1005.35,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.055,0.3,100,1006.83,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.055,0.3499,100,1008.32,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.055,0.4,100,1009.82,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.1,0.0499,100,1001.88,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.1,0.1,100,1003.48,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.1,0.1499,100,1005.07,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.1,0.2,100,1006.58,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.1,0.2499,100,1008.09,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.1,0.3,100,1009.6,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.1,0.3499,100,1011.31,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,308.15,0.1,0.3999,100,1012.25,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
