setid,"Temperature, K",Weight fraction of 2-aminoethan-1-ol,Weight fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EJPON,318.15,0.3119,0.5836,101,1027,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,323.15,0.2994,0.4614,101,1056,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,323.15,0.3046,0.2643,101,1105,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,323.15,0.3119,0.5836,101,1024,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,328.15,0.2994,0.4614,101,1053,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,328.15,0.3046,0.2643,101,1101,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,328.15,0.3119,0.5836,101,1021,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,333.15,0.2994,0.4614,101,1049,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,333.15,0.3046,0.2643,101,1097,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,333.15,0.3119,0.5836,101,1017,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
