setid,"MolaLity of pentan-1-ol, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of dodecyldimethylammonium chloride, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IBcwv,0.04997,101,298,0.05,-0.78,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04998,101,298,0.05,-0.82,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04998,101,298,0.05,-0.7,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04999,101,298,0.05,-0.82,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04999,101,298,0.05,-0.81,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04999,101,298,0.05,-0.79,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.05,101,298,0.05,-0.82,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.05,101,298,0.05,-0.81,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.05,101,298,0.05,-0.75,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.05001,101,298,0.05,-0.83,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.05006,101,298,0.05,-0.81,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.05034,101,298,0.05,-0.808,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
