setid,"Temperature, K","MolaLity of N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RQGci,298.15,0.165,100,1106.5,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,303.15,0,100,1090.26,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,303.15,0.0118,100,1091.11,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,303.15,0.0172,100,1091.51,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,303.15,0.0266,100,1092.18,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,303.15,0.0385,100,1093.02,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,303.15,0.0472,100,1093.63,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,303.15,0.0668,100,1095,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,303.15,0.0855,100,1096.28,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,303.15,0.1072,100,1097.75,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,303.15,0.13,100,1099.27,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,303.15,0.165,100,1101.54,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,308.15,0,100,1085.24,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,308.15,0.0118,100,1086.1,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,308.15,0.0172,100,1086.49,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,308.15,0.0266,100,1087.17,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,308.15,0.0385,100,1088.02,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,308.15,0.0472,100,1088.63,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,308.15,0.0668,100,1090.01,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,308.15,0.0855,100,1091.3,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,308.15,0.1072,100,1092.78,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,308.15,0.13,100,1094.3,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,308.15,0.165,100,1096.59,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,313.15,0,100,1080.22,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,313.15,0.0118,100,1081.09,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,313.15,0.0172,100,1081.48,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,313.15,0.0266,100,1082.16,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,313.15,0.0385,100,1083.02,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,313.15,0.0472,100,1083.64,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,313.15,0.0668,100,1085.02,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,313.15,0.0855,100,1086.32,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,313.15,0.1072,100,1087.81,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,313.15,0.13,100,1089.34,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,313.15,0.165,100,1091.64,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,318.15,0,100,1075.21,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,318.15,0.0118,100,1076.08,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,318.15,0.0172,100,1076.47,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,318.15,0.0266,100,1077.16,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,318.15,0.0385,100,1078.02,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,318.15,0.0472,100,1078.64,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,318.15,0.0668,100,1080.03,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,318.15,0.0855,100,1081.34,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,318.15,0.1072,100,1082.84,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,318.15,0.13,100,1084.37,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,318.15,0.165,100,1086.69,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
