setid,"Temperature, K","MolaLity of L-asparagine, mol/kg","Solvent: MolaLity of benzyltributylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NBqBH,303.15,0.085,0.005,100,1000.44,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.01,0.001,100,994.59,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.01,0.003,100,994.63,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.01,0.005,100,994.66,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.025,0.001,100,995.36,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.025,0.003,100,995.4,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.025,0.005,100,995.44,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.04,0.001,100,996.15,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.04,0.003,100,996.18,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.04,0.005,100,996.23,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.055,0.001,100,996.97,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.055,0.003,100,997,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.055,0.005,100,997.05,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.07,0.001,100,997.81,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.07,0.003,100,997.83,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.07,0.005,100,997.87,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.085,0.001,100,998.66,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.085,0.003,100,998.7,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,308.15,0.085,0.005,100,998.73,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.01,0.001,100,992.7,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.01,0.003,100,992.76,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.01,0.005,100,992.83,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.025,0.001,100,993.45,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.025,0.003,100,993.49,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.025,0.005,100,993.56,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.04,0.001,100,994.2,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.04,0.003,100,994.24,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.04,0.005,100,994.3,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.055,0.001,100,994.99,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.055,0.003,100,995.02,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.055,0.005,100,995.09,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.07,0.001,100,995.79,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.07,0.003,100,995.84,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.07,0.005,100,995.9,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.085,0.001,100,996.62,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.085,0.003,100,996.66,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,313.15,0.085,0.005,100,996.73,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
