setid,Mole fraction of propyl ethanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QXvGk,0.7939,323.16,101,901.9,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.8936,308.16,101,896.6,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.8936,313.16,101,891,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.8936,318.16,101,885.7,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.8936,323.16,101,880,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.9454,308.155,101,884.4,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.9454,313.156,101,878.9,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.9454,318.156,101,873.2,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.9454,323.157,101,867.6,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,1,308.143,101,871.4,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,1,313.151,101,865.7,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,1,318.151,101,860,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,1,323.149,101,854.3,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
