setid,"Temperature, K","MolaLity of 1-heptyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Cwuwk,298.15,0.1158,101.3,1002.33,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0.1383,101.3,1003.34,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0.1566,101.3,1004.14,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0.174,101.3,1004.91,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0,101.3,995.645,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.0096,101.3,996.083,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.0113,101.3,996.165,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.0151,101.3,996.337,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.0226,101.3,996.677,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.0306,101.3,997.04,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.0384,101.3,997.395,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.0571,101.3,998.23,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.0778,101.3,999.158,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.097,101.3,1000.01,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.1158,101.3,1000.83,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.1383,101.3,1001.81,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.1566,101.3,1002.6,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,303.15,0.174,101.3,1003.35,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0,101.3,994.029,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.0096,101.3,994.457,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.0113,101.3,994.539,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.0151,101.3,994.708,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.0226,101.3,995.043,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.0306,101.3,995.398,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.0384,101.3,995.747,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.0571,101.3,996.569,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.0778,101.3,997.477,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.097,101.3,998.309,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.1158,101.3,999.119,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.1383,101.3,1000.08,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.1566,101.3,1000.86,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,308.15,0.174,101.3,1001.6,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
