setid,"Temperature, K","MolaLity of (2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WwqVv,298.15,0.07071,101,1003.83,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,298.15,0.08011,101,1004.71,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,298.15,0.08971,101,1005.6,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,313.15,0.02602,101,994.682,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,313.15,0.03502,101,995.519,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,313.15,0.05261,101,997.154,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,313.15,0.06156,101,997.98,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,313.15,0.07015,101,998.764,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,328.15,0.02619,101,988.137,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,328.15,0.03386,101,988.84,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,328.15,0.04187,101,989.582,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,328.15,0.04854,101,990.185,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,328.15,0.05478,101,990.76,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,328.15,0.0619,101,991.406,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,328.15,0.0685,101,991.992,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
