setid,"Temperature, K","MolaLity of N,N-dimethylbenzylammonium acetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ilzng,298.15,0.06257,101.3,788.101,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,298.15,0.07241,101.3,788.482,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,298.15,0.10394,101.3,789.692,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,298.15,0.16161,101.3,791.855,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,298.15,0.21274,101.3,793.864,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,298.15,0.24488,101.3,795.053,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,298.15,0.29445,101.3,796.561,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,298.15,0.38265,101.3,799.694,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,298.15,0.43563,101.3,801.466,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,303.15,0,101.3,781.333,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,303.15,0.02435,101.3,782.283,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,303.15,0.06257,101.3,783.758,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,303.15,0.07241,101.3,784.135,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,303.15,0.10394,101.3,785.332,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,303.15,0.16161,101.3,787.473,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,303.15,0.21274,101.3,789.473,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,303.15,0.24488,101.3,790.655,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,303.15,0.29445,101.3,792.151,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,303.15,0.38265,101.3,795.266,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,303.15,0.43563,101.3,797.03,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,308.15,0,101.3,776.986,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,308.15,0.02435,101.3,777.924,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,308.15,0.06257,101.3,779.382,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,308.15,0.07241,101.3,779.754,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,308.15,0.10394,101.3,780.936,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,308.15,0.16161,101.3,783.06,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,308.15,0.21274,101.3,785.044,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,308.15,0.24488,101.3,786.217,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,308.15,0.29445,101.3,787.7,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,308.15,0.38265,101.3,790.796,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,308.15,0.43563,101.3,792.549,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,313.15,0,101.3,772.6,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,313.15,0.02435,101.3,773.524,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,313.15,0.06257,101.3,774.96,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,313.15,0.07241,101.3,775.326,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,313.15,0.10394,101.3,776.497,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,313.15,0.16161,101.3,778.598,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,313.15,0.21274,101.3,780.569,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,313.15,0.24488,101.3,781.733,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,313.15,0.29445,101.3,783.204,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,313.15,0.38265,101.3,786.279,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,313.15,0.43563,101.3,788.024,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,318.15,0,101.3,768.166,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,318.15,0.02435,101.3,769.079,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,318.15,0.06257,101.3,770.497,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,318.15,0.07241,101.3,770.859,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,318.15,0.10394,101.3,772.012,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,318.15,0.16161,101.3,774.091,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,318.15,0.21274,101.3,776.048,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,318.15,0.24488,101.3,777.202,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,318.15,0.29445,101.3,778.659,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,318.15,0.38265,101.3,781.712,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,318.15,0.43563,101.3,783.446,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
