setid,Mole fraction of ethanol,Mole fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VWASh,0.1077,0.6221,298.15,101,1018.3,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.1104,0.527,298.15,101,1023.9,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.1118,0.4552,298.15,101,1025.5,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.1461,0.7761,298.15,101,981.4,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.1502,0.5925,298.15,101,1010.1,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.1637,0.4956,298.15,101,1015,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.1932,0.646,298.15,101,989.2,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.2244,0.3265,298.15,101,1011.9,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.2691,0.5313,298.15,101,981.8,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.3032,0.3581,298.15,101,994.3,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.3065,0.2919,298.15,101,999.2,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.3436,0.1977,298.15,101,999.2,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.3855,0.3435,298.15,101,974.9,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.3996,0.3085,298.15,101,976.1,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.4178,0.245,298.15,101,979.1,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.4188,0.4225,298.15,101,948.5,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.5023,0.3618,298.15,101,928.4,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.5031,0.2778,298.15,101,949.9,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.5638,0.1836,298.15,101,948,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.6051,0.0999,298.15,101,950.4,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.607,0.2006,298.15,101,929.2,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.6105,0.2931,298.15,101,897.2,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.6146,0.2801,298.15,101,900.8,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.6273,0.2083,298.15,101,919.1,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.6365,0.1529,298.15,101,930.2,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.6528,0.0296,298.15,101,948.8,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.6546,0.1484,298.15,101,924.2,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.6557,0.0517,298.15,101,944.1,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.7205,0.1562,298.15,101,892.9,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.732,0.1128,298.15,101,902.7,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.7887,0.0847,298.15,101,884.9,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.8212,0.0594,298.15,101,877.9,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.8572,0.0519,298.15,101,861.1,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.903,0,298.15,101,857.5,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
