setid,"Temperature, K",Mole fraction of 3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mWZxk,303.15,0.201,100,1253,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,303.15,0.3026,100,1356,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,303.15,0.4011,100,1421.6,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,303.15,1,100,1601.2,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,308.15,0,100,766.8,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,308.15,0.01,100,814.6,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,308.15,0.1,100,1079.6,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,308.15,0.201,100,1247.7,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,308.15,0.3026,100,1350.8,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,308.15,0.4011,100,1416.4,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,308.15,1,100,1594.4,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,313.15,0,100,761.3,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,313.15,0.01,100,809.1,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,313.15,0.1,100,1074,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,313.15,0.201,100,1242.3,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,313.15,0.3026,100,1345.5,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,313.15,0.4011,100,1411.3,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,313.15,1,100,1588.1,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,318.15,0,100,755.7,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,318.15,0.01,100,803.6,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,318.15,0.1,100,1068.6,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,318.15,0.201,100,1237,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,318.15,0.3026,100,1340.3,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,318.15,0.4011,100,1406.1,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,318.15,1,100,1580.8,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,323.15,0,100,750.2,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,323.15,0.01,100,798,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,323.15,0.1,100,1063,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,323.15,0.201,100,1231.6,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,323.15,0.3026,100,1334.7,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,323.15,0.4011,100,1400.9,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,323.15,1,100,1573.7,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,328.15,0,100,744.5,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,328.15,0.01,100,792.4,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,328.15,0.1,100,1057.5,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,328.15,0.201,100,1226.3,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,328.15,0.3026,100,1329,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,328.15,0.4011,100,1395.7,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,328.15,1,100,1567.9,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,333.15,0,100,738.9,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,333.15,0.01,100,786.7,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,333.15,0.1,100,1052,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,333.15,0.201,100,1220.9,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,333.15,0.3026,100,1323.2,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,333.15,0.4011,100,1389.8,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,333.15,1,100,1561.1,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
