setid,"Temperature, K","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","MolaLity of (.+-.)-.alpha.-aminobutyric acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ULqZi,288.15,0.1002,0,101.3,1003.9,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1002,0.186,101.3,1009,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1002,0.3015,101.3,1012.1,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1002,0.4015,101.3,1014.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1002,0.4927,101.3,1017.1,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1002,0.5926,101.3,1019.6,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1002,0.7026,101.3,1022.3,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1002,0.8014,101.3,1024.6,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1957,0,101.3,1008.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1957,0.3031,101.3,1016.8,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1957,0.4764,101.3,1021.3,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1957,0.595,101.3,1024.3,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1957,0.6827,101.3,1026.5,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1957,0.7682,101.3,1028.6,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.1957,0.8956,101.3,1031.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.3007,0,101.3,1013.8,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.3007,0.2957,101.3,1021.6,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.3007,0.5097,101.3,1027,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.3007,0.5975,101.3,1029.2,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.3007,0.6906,101.3,1031.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.3007,0.8023,101.3,1034.1,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.3007,0.9006,101.3,1036.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.3007,1.0026,101.3,1038.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0,0,101.3,997,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0,0.2006,101.3,1002.5,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0,0.4945,101.3,1010.1,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0,0.5944,101.3,1012.6,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0,0.6791,101.3,1014.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0,0.7812,101.3,1017.2,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0,0.8868,101.3,1019.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0,0.9902,101.3,1022.1,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.0493,0,101.3,999.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.0493,0.2054,101.3,1005,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.0493,0.2925,101.3,1007.3,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.0493,0.4005,101.3,1010.1,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.0493,0.5058,101.3,1012.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.0493,0.6675,101.3,1016.8,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.0493,0.7898,101.3,1019.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1002,0,101.3,1001.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1002,0.186,101.3,1006.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1002,0.3015,101.3,1009.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1002,0.4015,101.3,1012.3,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1002,0.4927,101.3,1014.6,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1002,0.5926,101.3,1017.1,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1002,0.7026,101.3,1019.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1002,0.8014,101.3,1022,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1957,0,101.3,1006.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1957,0.3031,101.3,1014.3,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1957,0.4764,101.3,1018.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1957,0.595,101.3,1021.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1957,0.6827,101.3,1023.8,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1957,0.7682,101.3,1025.8,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.1957,0.8956,101.3,1028.8,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.3007,0,101.3,1011.3,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.3007,0.2957,101.3,1019,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.3007,0.5097,101.3,1024.3,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.3007,0.5975,101.3,1026.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.3007,0.6906,101.3,1028.6,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.3007,0.8023,101.3,1031.2,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.3007,0.9006,101.3,1033.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,298.15,0.3007,1.0026,101.3,1035.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0,0,101.3,994,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0,0.2006,101.3,999.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0,0.4945,101.3,1006.9,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0,0.5944,101.3,1009.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0,0.6791,101.3,1011.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0,0.7812,101.3,1013.9,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0,0.8868,101.3,1016.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0,0.9902,101.3,1018.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0.0493,0,101.3,996.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0.0493,0.2054,101.3,1001.8,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0.0493,0.2925,101.3,1004.1,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0.0493,0.4005,101.3,1006.8,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0.0493,0.5058,101.3,1009.5,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0.0493,0.6675,101.3,1013.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0.0493,0.7898,101.3,1016.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0.1002,0,101.3,998.6,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,308.15,0.1002,0.186,101.3,1003.5,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
