setid,"Temperature, K",Mole fraction of copper monochloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BbwGl,308.15,0.604,101.3,1678.8,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,308.15,0.666,101.3,1860.7,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,313.15,0.332,101.3,1353.1,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,313.15,0.4,101.3,1372,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,313.15,0.498,101.3,1499.1,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,313.15,0.604,101.3,1673.4,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,313.15,0.666,101.3,1854.5,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,318.15,0.332,101.3,1349.3,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,318.15,0.4,101.3,1367.8,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,318.15,0.498,101.3,1493.7,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,318.15,0.604,101.3,1668.1,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,318.15,0.666,101.3,1848.3,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,323.15,0.332,101.3,1345.6,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,323.15,0.4,101.3,1363.6,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,323.15,0.498,101.3,1488.3,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,323.15,0.604,101.3,1662.7,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,323.15,0.666,101.3,1842.1,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
