setid,"Temperature, K",Mole fraction of methanol,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qcXmj,373.15,0.9966,721.6,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,373.15,1,710.55,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,393.15,0.519,1140.13,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,393.15,0.6999,1069.74,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,393.15,0.8218,984.69,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,393.15,0.8447,962.34,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,393.15,0.8739,929.7,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,393.15,0.9334,841.88,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,393.15,0.9729,761.35,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,393.15,0.9873,725.04,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,393.15,0.9931,708.77,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,393.15,0.9966,698.36,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,393.15,1,687.21,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,413.15,0.3213,1168.43,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,413.15,0.519,1123.6,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,413.15,0.6999,1051.28,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,413.15,0.8218,963.87,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,413.15,0.8447,940.89,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,413.15,0.8739,907.13,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,413.15,0.9334,817.13,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,413.15,0.9729,735.68,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,413.15,0.9873,699.24,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,413.15,0.9931,682.94,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,413.15,0.9966,672.53,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,413.15,1,661.32,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
