setid,"Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","Temperature, K","MolaLity of L-alanyl-L-glutamine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IFMMu,0,303.15,0.148,101.3,1006.1,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,303.15,0.2002,101.3,1009.7,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,303.15,0.2448,101.3,1012.72,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,303.15,0.2993,101.3,1016.29,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,308.15,0.0401,101.3,996.937,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,308.15,0.08086,101.3,999.85,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,308.15,0.1012,101.3,1001.29,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,308.15,0.148,101.3,1004.59,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,308.15,0.2002,101.3,1008.15,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,308.15,0.2448,101.3,1011.2,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,313.15,0.0401,101.3,995.298,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,313.15,0.08086,101.3,998.196,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,313.15,0.1012,101.3,999.626,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,313.15,0.148,101.3,1002.89,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,313.15,0.2002,101.3,1006.48,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,313.15,0.2448,101.3,1009.51,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,313.15,0.2993,101.3,1013.17,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,298.15,0,101.3,999.107,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,298.15,0.04064,101.3,1002.04,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,298.15,0.0621,101.3,1003.57,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,298.15,0.08241,101.3,1005.01,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,298.15,0.1037,101.3,1006.51,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,298.15,0.154,101.3,1010.02,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,298.15,0.2102,101.3,1013.86,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,298.15,0.2472,101.3,1016.35,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,303.15,0,101.3,997.664,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,303.15,0.02058,101.3,999.137,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,303.15,0.04064,101.3,1000.56,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,303.15,0.0621,101.3,1002.08,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,303.15,0.08241,101.3,1003.52,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,303.15,0.1037,101.3,1005,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,303.15,0.154,101.3,1008.5,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,303.15,0.2102,101.3,1012.3,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,303.15,0.2472,101.3,1014.75,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,308.15,0,101.3,995.978,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,308.15,0.02058,101.3,997.43,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,308.15,0.04064,101.3,998.834,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,308.15,0.0621,101.3,1000.33,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,308.15,0.08241,101.3,1001.75,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,308.15,0.1037,101.3,1003.21,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,308.15,0.154,101.3,1006.62,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,308.15,0.2102,101.3,1010.39,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,308.15,0.2472,101.3,1012.84,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,313.15,0,101.3,994.216,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,313.15,0.04064,101.3,997.008,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,313.15,0.0621,101.3,998.481,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,313.15,0.08241,101.3,999.89,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,313.15,0.1037,101.3,1001.35,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,313.15,0.154,101.3,1004.81,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,313.15,0.2102,101.3,1008.64,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0.05,313.15,0.2472,101.3,1011.15,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
