setid,"MolaLity of 3-methyl-1-pentylimidazolium alaninate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VTKAG,0.0222,293.15,100.3,998.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0222,298.15,100.3,997.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0222,303.15,100.3,996.1,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0222,308.15,100.3,994.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0222,313.15,100.3,992.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0222,318.15,100.3,990.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0222,323.15,100.3,988.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0222,328.15,100.3,986.1,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0279,288.15,100.3,999.8,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0279,293.15,100.3,998.9,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0279,298.15,100.3,997.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0279,303.15,100.3,996.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0279,308.15,100.3,994.6,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0279,313.15,100.3,992.8,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0279,318.15,100.3,990.8,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0279,323.15,100.3,988.6,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0279,328.15,100.3,986.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0562,288.15,100.3,1000.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0562,293.15,100.3,999.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0562,298.15,100.3,998.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0562,303.15,100.3,996.8,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0562,308.15,100.3,995.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0562,313.15,100.3,993.4,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0562,318.15,100.3,991.4,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0562,323.15,100.3,989.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0562,328.15,100.3,986.8,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.1681,288.15,100.3,1003.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.1681,293.15,100.3,1002.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.1681,298.15,100.3,1000.9,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.1681,303.15,100.3,999.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.1681,308.15,100.3,997.6,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.1681,313.15,100.3,995.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.1681,318.15,100.3,993.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.1681,323.15,100.3,991.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.1681,328.15,100.3,989.1,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.2834,288.15,100.3,1006.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.2834,293.15,100.3,1005,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.2834,298.15,100.3,1003.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.2834,303.15,100.3,1001.9,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.2834,308.15,100.3,1000.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.2834,313.15,100.3,998.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.2834,318.15,100.3,996.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.2834,323.15,100.3,993.9,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.2834,328.15,100.3,991.6,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.3868,288.15,100.3,1008.9,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.3868,293.15,100.3,1007.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.3868,298.15,100.3,1006,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.3868,303.15,100.3,1004.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.3868,308.15,100.3,1002.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.3868,313.15,100.3,1000.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.3868,318.15,100.3,998.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.3868,323.15,100.3,996.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.3868,328.15,100.3,994,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.5075,288.15,100.3,1012,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.5075,293.15,100.3,1010.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.5075,298.15,100.3,1008.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.5075,303.15,100.3,1007,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.5075,308.15,100.3,1005.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.5075,313.15,100.3,1003.1,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.5075,318.15,100.3,1001.1,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.5075,323.15,100.3,998.9,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.5075,328.15,100.3,996.6,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.6214,288.15,100.3,1014.8,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.6214,293.15,100.3,1013.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.6214,298.15,100.3,1011.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.6214,303.15,100.3,1009.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.6214,308.15,100.3,1007.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.6214,313.15,100.3,1005.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.6214,318.15,100.3,1003.6,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.6214,323.15,100.3,1001.4,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.6214,328.15,100.3,999.1,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.7266,288.15,100.3,1017.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.7266,293.15,100.3,1015.8,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.7266,298.15,100.3,1013.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.7266,303.15,100.3,1011.9,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.7266,308.15,100.3,1010,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.7266,313.15,100.3,1008,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.7266,318.15,100.3,1006,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.7266,323.15,100.3,1003.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.7266,328.15,100.3,1001.4,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.8339,288.15,100.3,1020.1,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.8339,293.15,100.3,1018.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.8339,298.15,100.3,1016.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.8339,303.15,100.3,1014.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.8339,308.15,100.3,1012.4,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.8339,313.15,100.3,1010.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.8339,318.15,100.3,1008.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.8339,323.15,100.3,1006.1,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.8339,328.15,100.3,1003.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,1.0157,288.15,100.3,1024.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,1.0157,293.15,100.3,1022.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,1.0157,298.15,100.3,1020.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,1.0157,303.15,100.3,1018.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,1.0157,308.15,100.3,1016.3,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,1.0157,313.15,100.3,1014.2,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,1.0157,318.15,100.3,1012,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,1.0157,323.15,100.3,1009.8,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,1.0157,328.15,100.3,1007.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
