setid,"Temperature, K","MolaLity of 1-propylpyridinium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CFuhs,288.15,0.2021,100,1008.1,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.2999,100,1012.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.3987,100,1016.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.4993,100,1020.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.5974,100,1023.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.7001,100,1027.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.8006,100,1033,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,0.8967,100,1035.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,288.15,1.0337,100,1040.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.0099,100,998.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.02,100,999.1,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.03,100,999.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.04,100,1000.1,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.05,100,1000.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.0618,100,1000.9,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.0703,100,1001.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.08,100,1001.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.0896,100,1002.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.0997,100,1002.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.2021,100,1007.1,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.2999,100,1011.1,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.3987,100,1015.1,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.4993,100,1019.1,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.5974,100,1022.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.7001,100,1026,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.8006,100,1031.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,0.8967,100,1034,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,293.15,1.0337,100,1038.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.0099,100,997.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.02,100,997.9,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.03,100,998.3,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.04,100,998.9,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.05,100,999.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.0618,100,999.7,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.0703,100,1000.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.08,100,1000.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.0896,100,1001,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.0997,100,1001.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.2021,100,1005.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.2999,100,1009.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.3987,100,1013.7,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.4993,100,1017.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.5974,100,1021,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.7001,100,1024.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.8006,100,1029.9,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,0.8967,100,1032.3,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,298.15,1.0337,100,1036.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.0099,100,996.1,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.02,100,996.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.03,100,996.9,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.04,100,997.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.05,100,998.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.0618,100,998.3,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.0703,100,998.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.08,100,999.1,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.0896,100,999.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.0997,100,999.9,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.2021,100,1004.3,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.2999,100,1008.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.3987,100,1012,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.4993,100,1015.9,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.5974,100,1019.3,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.7001,100,1022.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.8006,100,1028,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,0.8967,100,1030.3,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,303.15,1.0337,100,1034.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.0099,100,994.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.02,100,994.9,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.03,100,995.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.04,100,995.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.05,100,996.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.0618,100,996.7,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.0703,100,997.1,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.08,100,997.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.0896,100,997.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.0997,100,998.3,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.2021,100,1002.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.2999,100,1006.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.3987,100,1010.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.4993,100,1014,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.5974,100,1017.3,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.7001,100,1020.7,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.8006,100,1025.9,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,0.8967,100,1028.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,308.15,1.0337,100,1032.7,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.0099,100,992.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.02,100,992.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.03,100,993.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.04,100,994,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.05,100,994.7,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.0618,100,994.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.0703,100,995.3,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.08,100,995.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.0896,100,996,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.0997,100,996.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.2021,100,1000.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.2999,100,1004.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.3987,100,1008.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.4993,100,1012,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.5974,100,1015.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.7001,100,1018.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.8006,100,1023.7,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,0.8967,100,1026,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,313.15,1.0337,100,1030.3,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.0099,100,990.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.02,100,991,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.03,100,991.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.04,100,992,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.05,100,992.7,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.0618,100,992.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.0703,100,993.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.08,100,993.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.0896,100,993.9,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.0997,100,994.4,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.2021,100,998.5,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.2999,100,1002.3,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.3987,100,1006,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.4993,100,1009.8,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.5974,100,1013,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.7001,100,1016.2,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.8006,100,1021.3,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,0.8967,100,1023.6,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
CFuhs,318.15,1.0337,100,1027.9,Meng et al. (2022a),Density,Liquid,AAmshH,CCC[n+]1ccccc1.[Br-],1-propylpyridinium bromide,AADYJk,O,water,,,
